variant,family,calibration_samples,test_samples,group_q,q_used
topology+PV+loading+EV,feeder=69|pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.1,207,276,0.00010361208171943189,0.00015577280929823074
topology+PV+loading+EV,feeder=69|pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.2,345,69,0.0001247079675524487,0.0001559523603241106
topology+PV+loading+EV,feeder=69|pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.3,345,138,0.00014445337714845996,0.00017126059922438903
topology+PV+loading+EV,feeder=69|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.0,276,414,4.9943802400682085e-05,0.0001068059601096348
topology+PV+loading+EV,feeder=69|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.1,69,69,6.1038087682657e-05,0.0001809833111759631
topology+PV+loading+EV,feeder=69|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.2,207,138,6.0946403868966226e-05,0.00012700474638277016
topology+PV+loading+EV,feeder=69|pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.3,69,69,6.712739177122914e-05,0.00018346947675058724
topology+PV+loading+EV,feeder=69|pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.1,138,0,0.00011432985835012608,0.00017710954618046986
topology+PV+loading+EV,feeder=69|pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.3,138,207,0.0004212573671776956,0.0003550759168451951
topology+PV+loading+EV,feeder=69|pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.0,207,69,6.189470608472998e-05,0.00012764415536864346
topology+PV+loading+EV,feeder=69|pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.2,138,138,7.917594057953833e-05,0.00015672618209500302
topology+PV+loading+EV,feeder=69|pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.3,69,138,0.00010242416943048695,0.00019788058715584635
topology+PV+loading+EV,feeder=69|pv_bin=0.6|load_bin=high_load|ev_bin=ev_0.0,69,69,0.0003413390391856043,0.00029542571149373446
topology+PV+loading+EV,feeder=69|pv_bin=0.6|load_bin=high_load|ev_bin=ev_0.1,207,0,0.00031188919552488646,0.0002962072150237327
topology+PV+loading+EV,feeder=69|pv_bin=0.6|load_bin=high_load|ev_bin=ev_0.2,69,0,0.00027967529169320866,0.0002702493885530522
topology+PV+loading+EV,feeder=69|pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.0,207,345,0.000261593746222987,0.0002622946482305952
topology+PV+loading+EV,feeder=69|pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.1,69,138,6.539403705586443e-05,0.0001827617757129531
topology+PV+loading+EV,feeder=69|pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.2,138,207,0.00023533210825062173,0.000247270514610169
topology+PV+loading+EV,feeder=69|pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.3,207,138,0.00023805087917085318,0.00024642046751466133
topology+PV+loading+EV,feeder=69|pv_bin=0.8|load_bin=high_load|ev_bin=ev_0.1,138,69,0.0001787467816992,0.0002144605353492606
topology+PV+loading+EV,feeder=69|pv_bin=0.8|load_bin=high_load|ev_bin=ev_0.2,69,69,0.00045804346712227385,0.0003430742649116646
topology+PV+loading+EV,feeder=69|pv_bin=0.8|load_bin=high_load|ev_bin=ev_0.3,276,69,0.00044818377748902103,0.0003991310482063942
topology+PV+loading+EV,feeder=69|pv_bin=0.8|load_bin=low_load|ev_bin=ev_0.1,69,207,0.00017573828853149564,0.000227813570694128
topology+PV+loading+EV,feeder=69|pv_bin=0.8|load_bin=low_load|ev_bin=ev_0.2,69,138,0.00021136331054607388,0.00024235869802552386
topology+PV+loading+EV,feeder=69|pv_bin=0.8|load_bin=low_load|ev_bin=ev_0.3,138,138,0.0001669035225497913,0.00020759343550632615
topology+PV+EV,feeder=33|pv_bin=0.2|ev_bin=ev_0.0,132,198,0.00020049296750847276,0.00022775699676617602
topology+PV+EV,feeder=33|pv_bin=0.2|ev_bin=ev_0.1,33,264,0.00014358010229451518,0.0002339300369500258
topology+PV+EV,feeder=33|pv_bin=0.2|ev_bin=ev_0.2,99,66,7.284501660569982e-05,0.00016877491549044577
topology+PV+EV,feeder=33|pv_bin=0.2|ev_bin=ev_0.3,132,66,0.0004533931935628273,0.0003716485046936536
topology+PV+EV,feeder=33|pv_bin=0.4|ev_bin=ev_0.0,264,165,0.0002582783272196466,0.0002597803019907174
topology+PV+EV,feeder=33|pv_bin=0.4|ev_bin=ev_0.1,99,231,0.0004047692061901273,0.00033390302990681924
topology+PV+EV,feeder=33|pv_bin=0.4|ev_bin=ev_0.2,66,231,0.0004992378908159303,0.0003573750140511194
topology+PV+EV,feeder=33|pv_bin=0.4|ev_bin=ev_0.3,99,66,0.00037612548199990927,0.00031965313696796706
topology+PV+EV,feeder=33|pv_bin=0.6|ev_bin=ev_0.0,198,231,0.0003445454685435818,0.00031743139030289804
topology+PV+EV,feeder=33|pv_bin=0.6|ev_bin=ev_0.1,198,66,0.0006727977860798546,0.0005355319234310256
topology+PV+EV,feeder=33|pv_bin=0.6|ev_bin=ev_0.2,132,132,0.0001308279063458182,0.00018811997920811392
topology+PV+EV,feeder=33|pv_bin=0.6|ev_bin=ev_0.3,99,66,0.00020707882206663641,0.00023555454735292176
topology+PV+EV,feeder=33|pv_bin=0.8|ev_bin=ev_0.0,66,66,0.00032732526007971964,0.000289024209059614
topology+PV+EV,feeder=33|pv_bin=0.8|ev_bin=ev_0.1,132,0,0.00030639941217287277,0.00028801411183385187
topology+PV+EV,feeder=33|pv_bin=0.8|ev_bin=ev_0.2,66,33,0.0004696383429287924,0.0003456065191080405
topology+PV+EV,feeder=33|pv_bin=0.8|ev_bin=ev_0.3,165,99,0.0004171748201433273,0.00035927696929163557
topology+PV+EV,feeder=69|pv_bin=0.2|ev_bin=ev_0.0,483,690,0.00011155974464141264,0.0001376636504295656
topology+PV+EV,feeder=69|pv_bin=0.2|ev_bin=ev_0.1,276,345,8.95505369240441e-05,0.00013587898864274095
topology+PV+EV,feeder=69|pv_bin=0.2|ev_bin=ev_0.2,552,207,0.00010927962886825978,0.00013297071575753654
topology+PV+EV,feeder=69|pv_bin=0.2|ev_bin=ev_0.3,414,207,0.00012684798943556736,0.00015348174934816988
topology+PV+EV,feeder=69|pv_bin=0.4|ev_bin=ev_0.0,207,69,6.189470608472998e-05,0.00012764415536864346
topology+PV+EV,feeder=69|pv_bin=0.4|ev_bin=ev_0.1,138,138,0.00011432985835012608,0.00017710954618046986
topology+PV+EV,feeder=69|pv_bin=0.4|ev_bin=ev_0.2,138,207,7.917594057953833e-05,0.00015672618209500302
topology+PV+EV,feeder=69|pv_bin=0.4|ev_bin=ev_0.3,207,345,0.0003949782685737557,0.00035223144343127645
topology+PV+EV,feeder=69|pv_bin=0.6|ev_bin=ev_0.0,276,414,0.0002991019865797739,0.0002896986697730107
topology+PV+EV,feeder=69|pv_bin=0.6|ev_bin=ev_0.1,276,138,0.0002828473297654478,0.0002777670599837713
topology+PV+EV,feeder=69|pv_bin=0.6|ev_bin=ev_0.2,207,207,0.00026543390693420827,0.00026488394226063697
topology+PV+EV,feeder=69|pv_bin=0.6|ev_bin=ev_0.3,207,138,0.00023805087917085318,0.00024642046751466133
topology+PV+EV,feeder=69|pv_bin=0.8|ev_bin=ev_0.1,207,276,0.00017638841163249757,0.00020484349428847372
topology+PV+EV,feeder=69|pv_bin=0.8|ev_bin=ev_0.2,138,207,0.0004431383872815217,0.0003677632310230438
topology+PV+EV,feeder=69|pv_bin=0.8|ev_bin=ev_0.3,414,207,0.0004073443019058126,0.0003794067948008577
