feeder,scenario_id,bus,vm_pu,voltage_violation,pv_bin,load_bin,method,conformal_variant,y_pred,lower,upper,q_used,risk_flag
33,3,0,1.0,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,1.0,0.9976307060291754,1.0023692939708246,0.002369293970824655,False
33,3,1,0.997083308442462,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9972473987137143,0.9948781047428896,0.9996166926845389,0.002369293970824655,False
33,3,2,0.9828501169309948,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9837694927916588,0.9814001988208342,0.9861387867624835,0.002369293970824655,False
33,3,3,0.975464821738121,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9768117952144606,0.974442501243636,0.9791810891852852,0.002369293970824655,False
33,3,4,0.9682251348627896,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.96996326604161,0.9675939720707853,0.9723325600124346,0.002369293970824655,False
33,3,5,0.9492478680625618,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9517619089864056,0.9493926150155809,0.9541312029572302,0.002369293970824655,True
33,3,6,0.9455333152906428,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9481397281634624,0.9457704341926377,0.950509022134287,0.002369293970824655,True
33,3,7,0.9404635269345109,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9431745784374128,0.9408052844665882,0.9455438724082375,0.002369293970824655,True
33,3,8,0.9339776399471706,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9368216074861657,0.9344523135153411,0.9391909014569904,0.002369293970824655,True
33,3,9,0.9280183160742244,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.930953805704678,0.9285845117338534,0.9333230996755026,0.002369293970824655,True
33,3,10,0.927163705141917,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9301097921196912,0.9277404981488666,0.9324790860905159,0.002369293970824655,True
33,3,11,0.9256940167637674,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9286578469911722,0.9262885530203475,0.9310271409619968,0.002369293970824655,True
33,3,12,0.9196699414257434,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9226946256618945,0.9203253316910699,0.9250639196327192,0.002369293970824655,True
33,3,13,0.9174352410685284,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9204744446541314,0.9181051506833068,0.9228437386249561,0.002369293970824655,True
33,3,14,0.916206421000249,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9192523386714434,0.9168830447006188,0.921621632642268,0.002369293970824655,True
33,3,15,0.9151955469609616,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9182463067257205,0.9158770127548959,0.9206156006965451,0.002369293970824655,True
33,3,16,0.9138328238942556,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9168893485058714,0.9145200545350468,0.9192586424766961,0.002369293970824655,True
33,3,17,0.9136786801614956,True,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9167357650218176,0.914366471050993,0.9191050589926423,0.002369293970824655,True
33,3,18,0.9965910594941376,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9967578426171027,0.994388548646278,0.9991271365879273,0.002369293970824655,False
33,3,19,0.9925096531229368,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9926901194831731,0.9903208255123485,0.9950594134539977,0.002369293970824655,False
33,3,20,0.9917059149926848,False,0.2,high_load,LinDistFlow physical backbone + global quantile,global,0.9918872992682742,0.9895180052974496,0.9942565932390989,0.002369293970824655,False
