method,variant,policy_type,budget_fraction,test_scenarios,ac_calls,ac_calls_avoided,original_risky_scenarios,captured_risky_scenarios,risky_recall_under_budget,missed_risky_not_sent,severity_capture_under_budget,original_total_severity,post_policy_total_severity,severity_reduction_ratio,post_policy_violating_scenarios,post_policy_scenario_violation_rate,scenario_violation_reduction,scenario_violation_reduction_ratio,original_violating_buses,post_policy_violating_buses,bus_violation_reduction,bus_violation_reduction_ratio,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,action_cost_proxy_mw
VoltGuard topology-aware residual,pv_conditioned,interval_risk_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.5258585852288031,2.118633470197015,1.6649155785884286,0.21415591606149528,93.0,0.775,0.0,0.0,921.0,839.0,82.0,0.08903365906623235,191.23095295448226,191.23095295448226,0.0,18.050321536394957,18.050321536394957
VoltGuard topology-aware residual,pv_conditioned,interval_risk_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.6957272131608387,2.118633470197015,1.4412520678411984,0.3197256212009272,93.0,0.775,0.0,0.0,921.0,791.0,130.0,0.14115092290988057,191.23095295448226,191.23095295448226,0.0,27.18228814203421,27.18228814203421
VoltGuard topology-aware residual,pv_conditioned,interval_risk_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9058779503790261,2.118633470197015,1.041486517588131,0.5084159047618173,84.0,0.7,9.0,0.0967741935483871,921.0,586.0,335.0,0.36373507057546145,191.23095295448226,191.23095295448226,0.0,44.94890825391007,44.94890825391007
VoltGuard topology-aware residual,pv_conditioned,interval_risk_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.118633470197015,0.8420763929775914,0.6025379543827912,51.0,0.425,42.0,0.45161290322580644,921.0,398.0,523.0,0.5678610206297503,191.23095295448226,191.23095295448226,0.0,59.14266215081935,59.14266215081935
VoltGuard topology-aware residual,topology_conditioned,interval_risk_ranking,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2979183563363454,2.1186334701970146,1.9245424102287871,0.09161143855155782,93.0,0.775,0.0,0.0,921.0,902.0,19.0,0.02062975027144408,191.23095295448223,191.23095295448223,0.0,7.5676916493767035,7.5676916493767035
VoltGuard topology-aware residual,topology_conditioned,interval_risk_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.5258585852288032,2.1186334701970146,1.6649155785884286,0.21415591606149512,93.0,0.775,0.0,0.0,921.0,839.0,82.0,0.08903365906623235,191.23095295448223,191.23095295448223,0.0,18.050321536394957,18.050321536394957
VoltGuard topology-aware residual,topology_conditioned,interval_risk_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.695727213160839,2.1186334701970146,1.4412520678411984,0.319725621200927,93.0,0.775,0.0,0.0,921.0,791.0,130.0,0.14115092290988057,191.23095295448223,191.23095295448223,0.0,27.18228814203421,27.18228814203421
VoltGuard topology-aware residual,topology_conditioned,interval_risk_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9058779503790263,2.1186334701970146,1.041486517588131,0.5084159047618172,84.0,0.7,9.0,0.0967741935483871,921.0,586.0,335.0,0.36373507057546145,191.23095295448223,191.23095295448223,0.0,44.94890825391007,44.94890825391007
VoltGuard topology-aware residual,topology_conditioned,interval_risk_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1186334701970146,0.8420763929775914,0.6025379543827911,51.0,0.425,42.0,0.45161290322580644,921.0,398.0,523.0,0.5678610206297503,191.23095295448223,191.23095295448223,0.0,59.14266215081935,59.14266215081935
VoltGuard topology-aware residual,topology_pv_loading_conditioned,interval_risk_ranking,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2979183563363454,2.1186334701970146,1.9245424102287871,0.09161143855155782,93.0,0.775,0.0,0.0,921.0,902.0,19.0,0.02062975027144408,191.23095295448223,191.23095295448223,0.0,7.5676916493767035,7.5676916493767035
VoltGuard topology-aware residual,topology_pv_loading_conditioned,interval_risk_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.5258585852288032,2.1186334701970146,1.6649155785884286,0.21415591606149512,93.0,0.775,0.0,0.0,921.0,839.0,82.0,0.08903365906623235,191.23095295448223,191.23095295448223,0.0,18.050321536394957,18.050321536394957
VoltGuard topology-aware residual,topology_pv_loading_conditioned,interval_risk_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.695727213160839,2.1186334701970146,1.4412520678411984,0.319725621200927,93.0,0.775,0.0,0.0,921.0,791.0,130.0,0.14115092290988057,191.23095295448223,191.23095295448223,0.0,27.18228814203421,27.18228814203421
VoltGuard topology-aware residual,topology_pv_loading_conditioned,interval_risk_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9058779503790263,2.1186334701970146,1.041486517588131,0.5084159047618172,84.0,0.7,9.0,0.0967741935483871,921.0,586.0,335.0,0.36373507057546145,191.23095295448223,191.23095295448223,0.0,44.94890825391006,44.94890825391006
VoltGuard topology-aware residual,topology_pv_loading_conditioned,interval_risk_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1186334701970146,0.8420763929775914,0.6025379543827911,51.0,0.425,42.0,0.45161290322580644,921.0,398.0,523.0,0.5678610206297503,191.23095295448223,191.23095295448223,0.0,59.14266215081935,59.14266215081935
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,interval_risk_ranking,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2979183563363454,2.1186334701970146,1.9245424102287871,0.09161143855155782,93.0,0.775,0.0,0.0,921.0,902.0,19.0,0.02062975027144408,191.23095295448226,191.23095295448226,0.0,7.5676916493767035,7.5676916493767035
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,interval_risk_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.5258585852288032,2.1186334701970146,1.6649155785884286,0.21415591606149512,93.0,0.775,0.0,0.0,921.0,839.0,82.0,0.08903365906623235,191.23095295448226,191.23095295448226,0.0,18.050321536394957,18.050321536394957
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,interval_risk_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.6954993226302291,2.1186334701970146,1.4404509979324578,0.3201037280891686,93.0,0.775,0.0,0.0,921.0,785.0,136.0,0.1476655808903366,191.23095295448226,191.23095295448226,0.0,27.218002207985883,27.218002207985883
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,interval_risk_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9058779503790263,2.1186334701970146,1.041486517588131,0.5084159047618172,84.0,0.7,9.0,0.0967741935483871,921.0,586.0,335.0,0.36373507057546145,191.23095295448226,191.23095295448226,0.0,44.94890825391006,44.94890825391006
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,interval_risk_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1186334701970146,0.8420763929775914,0.6025379543827911,51.0,0.425,42.0,0.45161290322580644,921.0,398.0,523.0,0.5678610206297503,191.23095295448226,191.23095295448226,0.0,59.14266215081935,59.14266215081935
Oracle realized severity,oracle,oracle,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2979183563363454,2.1186334701970146,1.9245424102287871,0.09161143855155782,93.0,0.775,0.0,0.0,921.0,902.0,19.0,0.02062975027144408,191.23095295448226,191.23095295448226,0.0,7.5676916493767035,7.5676916493767035
Oracle realized severity,oracle,oracle,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.525869158005163,2.1186334701970146,1.6782009974659768,0.20788516698458528,93.0,0.775,0.0,0.0,921.0,848.0,73.0,0.07926167209554831,191.23095295448226,191.23095295448226,0.0,17.465089707191332,17.465089707191332
Oracle realized severity,oracle,oracle,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.695727213160839,2.1186334701970146,1.4412520678411984,0.319725621200927,93.0,0.775,0.0,0.0,921.0,791.0,130.0,0.14115092290988057,191.23095295448226,191.23095295448226,0.0,27.18228814203421,27.18228814203421
Oracle realized severity,oracle,oracle,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9058841479317468,2.1186334701970146,1.041473387245504,0.5084221023145377,84.0,0.7,9.0,0.0967741935483871,921.0,586.0,335.0,0.36373507057546145,191.23095295448226,191.23095295448226,0.0,45.038726192053986,45.038726192053986
Oracle realized severity,oracle,oracle,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1186334701970146,0.8420763929775914,0.6025379543827911,51.0,0.425,42.0,0.45161290322580644,921.0,398.0,523.0,0.5678610206297503,191.23095295448226,191.23095295448226,0.0,59.14266215081935,59.14266215081935
Random budget expectation,random,random_mean,0.1,120.0,12.0,108.0,93.0,9.2265,0.09920967741935482,83.7735,0.09906954608682246,2.118633470197015,1.9918510465483978,0.05984160329385693,88.833,0.7402750000000001,4.167,0.04480645161290322,921.0,868.4925,52.5075,0.05701140065146581,191.23095295448226,191.23095295448226,0.0,5.870203457341071,5.870203457341071
Random budget expectation,random,random_mean,0.2,120.0,24.0,96.0,93.0,18.619,0.20020430107526876,74.381,0.19974818545262849,2.118633470197015,1.8630314846380247,0.12064474065692045,84.5435,0.7045291666666667,8.4565,0.0909301075268817,921.0,815.7275,105.2725,0.1143023887079262,191.23095295448226,191.23095295448226,0.0,11.84587298106087,11.84587298106087
Random budget expectation,random,random_mean,0.3,120.0,36.0,84.0,93.0,27.935,0.3003763440860215,65.065,0.3008427854794945,2.118633470197015,1.734659482682634,0.181236628664549,80.41,0.6700833333333334,12.59,0.13537634408602148,921.0,764.617,156.383,0.16979695982627585,191.23095295448226,191.23095295448226,0.0,17.783789676610077,17.783789676610077
Random budget expectation,random,random_mean,0.5,120.0,60.0,60.0,93.0,46.3835,0.49874731182795695,46.6165,0.49885430813178594,2.118633470197015,1.4819532523006942,0.30051456604105986,72.0675,0.6005625,20.9325,0.22508064516129025,921.0,660.0345,260.9655,0.28335016286644954,191.23095295448226,191.23095295448226,0.0,29.499480554745336,29.499480554745336
Random budget expectation,random,random_mean,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.118633470197015,0.8420763929775917,0.6025379543827912,51.0,0.4249999999999999,42.0,0.4516129032258062,921.0,398.0,523.0,0.5678610206297501,191.23095295448226,191.23095295448226,0.0,59.142662150819326,59.142662150819326
