experiment,comparison,metric,split_name,seed,delta,baseline_value,primary_value
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,recall,pv_penetration_shift,42,0.0,0.9980657640232108,0.9980657640232108
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,recall,topology_heldout_33_to_69,42,0.0,1.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,random_interpolation,7,-0.0003145148608272,0.0025004808617041,0.0005770340450086
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,synthetic_time_block,7,-0.0001572574304136,0.0038699690402476,0.0025154798761609
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,pv_penetration_shift,7,0.0,0.001887089164963,0.0015725743041358
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,topology_heldout_33_to_69,7,-0.0019234468166955,0.0017924359204158,0.0004481089801039
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,random_interpolation,17,0.0013348588863463,0.0011441647597254,0.0024790236460717
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,synthetic_time_block,17,-0.0015020653398423,0.0036764705882352,0.0027089783281733
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,pv_penetration_shift,17,-0.0013544891640867,0.0015725743041358,0.0014153168737222
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,topology_heldout_33_to_69,17,-0.0009674922600618999,0.0019741564967695,0.0006281407035175
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,random_interpolation,42,-0.0009674922600620001,0.0035674051821254,0.0020653398422831
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,synthetic_time_block,42,-0.0013443269403119,0.0034829721362229,0.0025154798761609
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,pv_penetration_shift,42,-0.001346015793252,0.0014153168737222,0.0014153168737222
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,false_alarm_rate,topology_heldout_33_to_69,42,-0.0011669658886894001,0.0022441651705565,0.0010771992818671
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,random_interpolation,7,-1.0,3.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,synthetic_time_block,7,0.0,2.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,pv_penetration_shift,7,0.0,2.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,topology_heldout_33_to_69,7,-2.0,0.0,0.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,random_interpolation,17,-1.0,1.0,0.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,synthetic_time_block,17,-1.0,2.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,pv_penetration_shift,17,-1.0,1.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,topology_heldout_33_to_69,17,-1.0,0.0,0.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,random_interpolation,42,-2.0,1.0,0.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,synthetic_time_block,42,0.0,3.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,pv_penetration_shift,42,0.0,1.0,1.0
main_33_69_split_seed_prediction,VoltGuard topology+PV+loading minus boosting+global,missed_violations,topology_heldout_33_to_69,42,0.0,0.0,0.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_capture_under_budget,random_interpolation,7,0.1393963208905973,0.1997481854526286,0.3391445063432259
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_capture_under_budget,random_interpolation,17,0.11038074984417523,0.200563606265733,0.3109443561099082
