seed,forecast_noise_sigma,method,conformal_variant,train_rows,calib_rows,test_rows,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios
7,0.0,Boosting point + global conformal,global,18360,6120,6120,0.0002871706248397758,0.0004145545321376299,0.00587799314880133,0.9084967320261438,0.0010963713147436255,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
7,0.0,VoltGuard topology-aware residual,global,18360,6120,6120,6.772327532079149e-05,0.00011446658923916473,0.0008267977104926549,0.9498366013071895,0.000527491030772676,0.9935205183585313,0.998914223669924,0.9962100703844071,0.001154068090017311,1,1.0,1.0,1.0,0.0,0,120
7,0.0,VoltGuard topology-aware residual,topology_pv_loading_conditioned,18360,6120,6120,6.772327532079149e-05,0.00011446658923916473,0.0008267977104926549,0.9366013071895425,0.000433404174920454,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1,1.0,1.0,1.0,0.0,0,120
7,0.05,Boosting point + global conformal,global,18360,6120,6120,0.0006751746311851323,0.0011554941892090004,0.010048284839002442,0.9240196078431373,0.0036508381008439664,0.9484004127966976,0.997828447339848,0.9724867724867725,0.009617234083477592,2,0.96875,1.0,0.9841269841269841,0.1111111111111111,0,120
7,0.05,VoltGuard topology-aware residual,global,18360,6120,6120,0.000605279300462834,0.0011155329053890988,0.009302121229705751,0.917156862745098,0.003460733668634742,0.9454732510288066,0.997828447339848,0.97094558901215,0.010194268128486247,2,0.96875,1.0,0.9841269841269841,0.1111111111111111,0,120
7,0.05,VoltGuard topology-aware residual,topology_pv_loading_conditioned,18360,6120,6120,0.000605279300462834,0.0011155329053890988,0.009302121229705751,0.9035947712418301,0.0030921810240921417,0.9454732510288066,0.997828447339848,0.97094558901215,0.010194268128486247,2,0.96875,1.0,0.9841269841269841,0.1111111111111111,0,120
7,0.1,Boosting point + global conformal,global,18360,6120,6120,0.0012311226570431452,0.0020933952230442203,0.014181763545802917,0.9165032679738562,0.007090610006938804,0.8540692235734331,0.991313789359392,0.9175879396984925,0.030005770340450086,8,0.9117647058823529,1.0,0.9538461538461539,0.3333333333333333,0,120
7,0.1,VoltGuard topology-aware residual,global,18360,6120,6120,0.0012201209397208397,0.0020806318023842037,0.014171236276173005,0.9006535947712418,0.006677926666800462,0.8587570621468926,0.990228013029316,0.9198184568835098,0.028851702250432775,9,0.9207920792079208,1.0,0.9587628865979382,0.2962962962962963,0,120
7,0.1,VoltGuard topology-aware residual,topology_pv_loading_conditioned,18360,6120,6120,0.0012201209397208397,0.0020806318023842037,0.014171236276173005,0.8933006535947713,0.006397896590899192,0.8629876308277831,0.9847991313789359,0.9198782961460447,0.027697634160415464,14,0.93,1.0,0.9637305699481865,0.25925925925925924,0,120
7,0.2,Boosting point + global conformal,global,18360,6120,6120,0.0024665076069936994,0.004134202989051622,0.02527207963209266,0.8893790849673202,0.012264422872809017,0.7914110429447853,0.9804560260586319,0.8758486905916586,0.04577803423735334,18,0.8454545454545455,1.0,0.916256157635468,0.6296296296296297,0,120
7,0.2,VoltGuard topology-aware residual,global,18360,6120,6120,0.002319591437942658,0.003921838185114024,0.025957550752206515,0.8983660130718955,0.01226976901118995,0.795774647887324,0.9815418023887079,0.8789499270782694,0.044623966147336026,17,0.8679245283018868,0.989247311827957,0.9246231155778895,0.5185185185185185,1,120
7,0.2,VoltGuard topology-aware residual,topology_pv_loading_conditioned,18360,6120,6120,0.002319591437942658,0.003921838185114024,0.025957550752206515,0.8740196078431373,0.010979555570680805,0.8067978533094812,0.9793702497285559,0.8847474252084355,0.0415464512406232,19,0.8679245283018868,0.989247311827957,0.9246231155778895,0.5185185185185185,1,120
