seed,method,variant,budget_fraction,test_scenarios,ac_calls,ac_calls_avoided,original_risky_scenarios,captured_risky_scenarios,risky_recall_under_budget,missed_risky_not_sent,severity_capture_under_budget,original_total_severity,post_policy_total_severity,severity_reduction_ratio,post_policy_violating_scenarios,scenario_violation_reduction_ratio,post_policy_violating_buses,bus_violation_reduction_ratio,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,action_cost_proxy_mw
7,VoltGuard interval-risk,topology_pv_loading_conditioned,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2240533362226467,2.118633470196956,1.8487465758099795,0.1273872513502238,93.0,0.0,829.0,0.0998914223669924,191.23095295448223,0.0,11.099896761670507,11.099896761670507
7,LinDistFlow point-risk,point_ranking,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2979183563363159,2.118633470196956,1.924542410228808,0.09161143855152283,93.0,0.0,902.0,0.02062975027144408,191.23095295448223,0.0,7.5676916493767035,7.5676916493767035
7,Oracle realized severity,oracle,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.2979183563363159,2.118633470196956,1.924542410228808,0.09161143855152283,93.0,0.0,902.0,0.02062975027144408,191.23095295448223,0.0,7.5676916493767035,7.5676916493767035
7,Random budget expectation,random,0.1,120.0,12.0,108.0,93.0,9.2265,0.09920967741935482,83.7735,0.09906954608682352,2.1186334701969556,1.9918510465483423,0.05984160329385689,88.833,0.04480645161290322,868.4925,0.05701140065146581,191.23095295448226,0.0,5.870203457341071,5.870203457341071
7,VoltGuard interval-risk,topology_pv_loading_conditioned,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.33914450634322596,2.118633470196956,1.631370591357522,0.2299892292337552,88.0,0.053763440860215055,682.0,0.25950054288816504,191.23095295448223,0.0,20.638974496738946,20.638974496738946
7,LinDistFlow point-risk,point_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.5258585852287697,2.118633470196956,1.6649155785884715,0.21415591606145315,93.0,0.0,839.0,0.08903365906623235,191.23095295448223,0.0,18.050321536394957,18.050321536394957
7,Oracle realized severity,oracle,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.5258691580051291,2.118633470196956,1.6782009974660204,0.20788516698454285,93.0,0.0,848.0,0.07926167209554831,191.23095295448223,0.0,17.465089707191332,17.465089707191332
7,Random budget expectation,random,0.2,120.0,24.0,96.0,93.0,18.619,0.20020430107526876,74.381,0.19974818545262865,2.1186334701969556,1.8630314846379772,0.12064474065691841,84.5435,0.0909301075268817,815.7275,0.1143023887079262,191.23095295448226,0.0,11.84587298106087,11.84587298106087
7,VoltGuard interval-risk,topology_pv_loading_conditioned,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.5321215742791086,2.118633470196956,1.5124335452702673,0.2861277957958127,82.0,0.11827956989247312,615.0,0.3322475570032573,191.23095295448223,0.0,26.340176337345167,26.340176337345167
7,LinDistFlow point-risk,point_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.695499322630133,2.118633470196956,1.4404509979326434,0.3201037280890622,93.0,0.0,785.0,0.1476655808903366,191.23095295448223,0.0,27.218002207985883,27.218002207985883
7,Oracle realized severity,oracle,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.6957272131607187,2.118633470196956,1.4412520678414347,0.3197256212007967,93.0,0.0,791.0,0.14115092290988057,191.23095295448223,0.0,27.18228814203421,27.18228814203421
7,Random budget expectation,random,0.3,120.0,36.0,84.0,93.0,27.935,0.3003763440860215,65.065,0.3008427854794962,2.1186334701969556,1.734659482682589,0.18123662866454734,80.41,0.13537634408602148,764.617,0.16979695982627585,191.23095295448226,0.0,17.783789676610077,17.783789676610077
7,VoltGuard interval-risk,topology_pv_loading_conditioned,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.8930189686215185,2.118633470196956,1.06535764145428,0.49714867793755735,81.0,0.12903225806451613,563.0,0.38870792616720956,191.23095295448223,0.0,44.2187414789544,44.2187414789544
7,LinDistFlow point-risk,point_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9058779503790038,2.118633470196956,1.0414865175881725,0.508415904761784,84.0,0.0967741935483871,586.0,0.36373507057546145,191.23095295448223,0.0,44.94890825391006,44.94890825391006
7,Oracle realized severity,oracle,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9058841479317258,2.118633470196956,1.0414733872455424,0.508422102314506,84.0,0.0967741935483871,586.0,0.36373507057546145,191.23095295448223,0.0,45.038726192053986,45.038726192053986
7,Random budget expectation,random,0.5,120.0,60.0,60.0,93.0,46.3835,0.49874731182795695,46.6165,0.4988543081317861,2.1186334701969556,1.4819532523006642,0.30051456604105464,72.0675,0.22508064516129025,660.0345,0.28335016286644954,191.23095295448226,0.0,29.499480554745336,29.499480554745336
7,VoltGuard interval-risk,topology_pv_loading_conditioned,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.118633470196956,0.8420763929775914,0.6025379543827801,51.0,0.45161290322580644,398.0,0.5678610206297503,191.23095295448223,0.0,59.14266215081935,59.14266215081935
7,LinDistFlow point-risk,point_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.118633470196956,0.8420763929775914,0.6025379543827801,51.0,0.45161290322580644,398.0,0.5678610206297503,191.23095295448223,0.0,59.14266215081935,59.14266215081935
7,Oracle realized severity,oracle,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.118633470196956,0.8420763929775914,0.6025379543827801,51.0,0.45161290322580644,398.0,0.5678610206297503,191.23095295448223,0.0,59.14266215081935,59.14266215081935
7,Random budget expectation,random,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1186334701969556,0.8420763929775917,0.6025379543827802,51.0,0.4516129032258062,398.0,0.5678610206297501,191.23095295448226,0.0,59.142662150819326,59.142662150819326
17,VoltGuard interval-risk,topology_pv_loading_conditioned,0.1,120.0,12.0,108.0,91.0,12.0,0.13186813186813187,79.0,0.21041668914987063,2.248904408420077,1.9943667040521147,0.11318298075051691,91.0,0.0,782.0,0.10730593607305935,236.47093655355442,0.0,10.502028236434331,10.502028236434331
17,LinDistFlow point-risk,point_ranking,0.1,120.0,12.0,108.0,91.0,12.0,0.13186813186813187,79.0,0.29871677146145437,2.248904408420077,2.110326407743666,0.0616202272348988,91.0,0.0,852.0,0.0273972602739726,236.47093655355442,0.0,5.391106397469827,5.391106397469827
17,Oracle realized severity,oracle,0.1,120.0,12.0,108.0,91.0,12.0,0.13186813186813187,79.0,0.29871677146145437,2.248904408420077,2.110326407743666,0.0616202272348988,91.0,0.0,852.0,0.0273972602739726,236.47093655355442,0.0,5.391106397469827,5.391106397469827
17,Random budget expectation,random,0.1,120.0,12.0,108.0,91.0,9.1335,0.10036813186813187,81.8665,0.10025851321938387,2.2489044084200773,2.1205800388219815,0.05706083776510859,87.07,0.04318681318681318,828.691,0.05400570776255707,236.47093655355448,0.0,5.9826072561501045,5.9826072561501045
17,VoltGuard interval-risk,topology_pv_loading_conditioned,0.2,120.0,24.0,96.0,91.0,24.0,0.26373626373626374,67.0,0.3109443561099082,2.248904408420077,1.8027415731364849,0.1983911960033174,84.0,0.07692307692307693,657.0,0.25,236.47093655355442,0.0,19.641134055607203,19.641134055607203
17,LinDistFlow point-risk,point_ranking,0.2,120.0,24.0,96.0,91.0,24.0,0.26373626373626374,67.0,0.5174289177809974,2.248904408420077,1.855158694830895,0.17508334819166468,91.0,0.0,812.0,0.0730593607305936,236.47093655355442,0.0,15.655065151291339,15.655065151291339
17,Oracle realized severity,oracle,0.2,120.0,24.0,96.0,91.0,24.0,0.26373626373626374,67.0,0.5174289177809974,2.248904408420077,1.855158694830895,0.17508334819166468,91.0,0.0,812.0,0.0730593607305936,236.47093655355442,0.0,15.655065151291339,15.655065151291339
17,Random budget expectation,random,0.2,120.0,24.0,96.0,91.0,18.238,0.20041758241758242,72.762,0.20056360626573308,2.2489044084200773,1.9915872143198898,0.11441891133156698,83.227,0.0854175824175824,781.7345,0.10760901826484018,236.47093655355448,0.0,11.974160361814002,11.974160361814002
17,VoltGuard interval-risk,topology_pv_loading_conditioned,0.3,120.0,36.0,84.0,91.0,36.0,0.3956043956043956,55.0,0.5783262240553828,2.248904408420077,1.6714802335528385,0.25675798967057756,83.0,0.08791208791208792,641.0,0.2682648401826484,236.47093655355442,0.0,24.845138652038067,24.845138652038067
17,LinDistFlow point-risk,point_ranking,0.3,120.0,36.0,84.0,91.0,36.0,0.3956043956043956,55.0,0.6786673802726829,2.248904408420077,1.6144152373330423,0.2821325658447094,91.0,0.0,741.0,0.1541095890410959,236.47093655355442,0.0,25.58512604138125,25.58512604138125
17,Oracle realized severity,oracle,0.3,120.0,36.0,84.0,91.0,36.0,0.3956043956043956,55.0,0.6786673802726829,2.248904408420077,1.6144152373330423,0.2821325658447094,91.0,0.0,741.0,0.1541095890410959,236.47093655355442,0.0,25.58512604138125,25.58512604138125
17,Random budget expectation,random,0.3,120.0,36.0,84.0,91.0,27.301,0.30001098901098894,63.699,0.30066281770318326,2.2489044084200773,1.8638711552006102,0.17120925717334695,79.3515,0.1280054945054945,734.4385,0.16159988584474885,236.47093655355448,0.0,17.915666375145374,17.915666375145374
17,VoltGuard interval-risk,topology_pv_loading_conditioned,0.5,120.0,60.0,60.0,91.0,60.0,0.6593406593406593,31.0,0.8633890661070113,2.248904408420077,1.2527285576169755,0.44296051316069274,80.0,0.12087912087912088,568.0,0.3515981735159817,236.47093655355442,0.0,42.020390153244406,42.020390153244406
17,LinDistFlow point-risk,point_ranking,0.5,120.0,60.0,60.0,91.0,60.0,0.6593406593406593,31.0,0.9056114715274756,2.248904408420077,1.179594861385537,0.4754802129565668,83.0,0.08791208791208792,601.0,0.3139269406392694,236.47093655355442,0.0,44.7549237519921,44.7549237519921
17,Oracle realized severity,oracle,0.5,120.0,60.0,60.0,91.0,60.0,0.6593406593406593,31.0,0.9056114715274756,2.248904408420077,1.179594861385537,0.4754802129565668,83.0,0.08791208791208792,601.0,0.3139269406392694,236.47093655355442,0.0,44.7549237519921,44.7549237519921
17,Random budget expectation,random,0.5,120.0,60.0,60.0,91.0,45.4575,0.499532967032967,45.5425,0.5004793255970968,2.2489044084200773,1.6084137678940074,0.2848011850250379,71.528,0.21397802197802201,640.1365,0.2692505707762557,236.47093655355448,0.0,29.83809519948523,29.83809519948523
17,VoltGuard interval-risk,topology_pv_loading_conditioned,1.0,120.0,120.0,0.0,91.0,91.0,1.0,0.0,1.0,2.248904408420077,0.9673240835993926,0.5698687414290913,52.0,0.42857142857142855,404.0,0.5388127853881278,236.47093655355442,0.0,59.69903230198919,59.69903230198919
17,LinDistFlow point-risk,point_ranking,1.0,120.0,120.0,0.0,91.0,91.0,1.0,0.0,1.0,2.248904408420077,0.9673240835993926,0.5698687414290913,52.0,0.42857142857142855,404.0,0.5388127853881278,236.47093655355442,0.0,59.69903230198919,59.69903230198919
17,Oracle realized severity,oracle,1.0,120.0,120.0,0.0,91.0,91.0,1.0,0.0,1.0,2.248904408420077,0.9673240835993926,0.5698687414290913,52.0,0.42857142857142855,404.0,0.5388127853881278,236.47093655355442,0.0,59.69903230198919,59.69903230198919
17,Random budget expectation,random,1.0,120.0,120.0,0.0,91.0,91.0,1.0,0.0,1.0,2.2489044084200773,0.9673240835993924,0.569868741429091,52.0,0.42857142857142855,404.0,0.5388127853881278,236.47093655355448,0.0,59.69903230198918,59.69903230198918
42,VoltGuard interval-risk,topology_pv_loading_conditioned,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.17486831309223286,2.1389972288438517,1.8898692900942469,0.11646950046974153,92.0,0.010752688172043012,691.0,0.1297229219143577,239.84934000057135,0.0,10.479362423012251,10.479362423012251
