method,conformal_variant,test_scenarios,risky_scenarios,roc_auc,average_precision,spearman_score_severity,top10_risky_capture,top10_precision,top10_severity_capture,top20_risky_capture,top20_precision,top20_severity_capture,top30_risky_capture,top30_precision,top30_severity_capture,bottom5_safe_precision,bottom5_missed_risky,bottom10_safe_precision,bottom10_missed_risky,bottom20_safe_precision,bottom20_missed_risky
VoltGuard topology-aware residual,global,120,93,1.0,1.0,0.9999157019219962,0.10752688172043011,1.0,0.2534720211190247,0.21505376344086022,1.0,0.45593923251745233,0.3225806451612903,1.0,0.6196479617483099,1.0,0,1.0,0,1.0,0
VoltGuard topology-aware residual,topology_conditioned,120,93,1.0,1.0,0.9999016522423289,0.10752688172043011,1.0,0.2534720211190247,0.21505376344086022,1.0,0.45593923251745233,0.3225806451612903,1.0,0.6196479617483099,1.0,0,1.0,0,1.0,0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,120,93,1.0,1.0,0.9998454535236596,0.10752688172043011,1.0,0.2534720211190247,0.21505376344086022,1.0,0.45593923251745233,0.3225806451612903,1.0,0.6196479617483099,1.0,0,1.0,0,1.0,0
VoltGuard topology-aware residual,pv_conditioned,120,93,1.0,1.0,0.9998314038439924,0.10752688172043011,1.0,0.2534720211190247,0.21505376344086022,1.0,0.45593923251745233,0.3225806451612903,1.0,0.6196479617483099,1.0,0,1.0,0,1.0,0
VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,120,93,1.0,1.0,0.9998314038439924,0.10752688172043011,1.0,0.2534720211190247,0.21505376344086022,1.0,0.45593923251745233,0.3225806451612903,1.0,0.6196479617483099,1.0,0,1.0,0,1.0,0
Boosting point + global conformal,global,120,93,1.0,1.0,0.9990137880100197,0.10752688172043011,1.0,0.2522836785476489,0.21505376344086022,1.0,0.4558100302662382,0.3225806451612903,1.0,0.6196479617483097,1.0,0,1.0,0,1.0,0
Neural graph residual ablation,topology_conditioned,120,93,0.9908403026682596,0.9972570474834331,0.9857330985786117,0.10752688172043011,1.0,0.2534720211190247,0.21505376344086022,1.0,0.4553899021292226,0.3225806451612903,1.0,0.6196479617483099,1.0,0,1.0,0,1.0,0
