family,calibration_samples,group_q,q_used,shrinkage,split_name,seed,method,conformal_variant,test_samples,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
__global__,6120,0.000548185657371845,0.000548185657371845,True,random_interpolation,7,Boosting point + global conformal,global,6120,0.9084967320261438,0.0010963713147436255,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3
__global__,6120,0.0002637455153863527,0.0002637455153863527,True,random_interpolation,7,VoltGuard topology-aware residual,global,6120,0.9498366013071895,0.000527491030772676,0.9935205183585313,0.998914223669924,0.9962100703844071,0.001154068090017311,1
pv_bin=0.2,2121,0.00011706636742045769,0.0001236705613856038,True,random_interpolation,7,VoltGuard topology-aware residual,pv_conditioned,2043,0.9123837493881547,0.00024734112277124634,1.0,1.0,1.0,0.0,0
pv_bin=0.4,1218,0.00027784646141308216,0.0002767765869042256,True,random_interpolation,7,VoltGuard topology-aware residual,pv_conditioned,1452,0.959366391184573,0.0005535531738083576,1.0,1.0,1.0,0.0,0
pv_bin=0.6,1593,0.00028128532366228213,0.0002802493042720914,True,random_interpolation,7,VoltGuard topology-aware residual,pv_conditioned,1392,0.9655172413793104,0.000560498608544149,0.9777777777777777,0.9924812030075187,0.9850746268656716,0.0023828435266084196,1
pv_bin=0.8,1188,0.0003761083421987066,0.0003673845202412257,True,random_interpolation,7,VoltGuard topology-aware residual,pv_conditioned,1233,0.959448499594485,0.0007347690404824264,1.0,1.0,1.0,0.0,0
feeder=33,1980,0.00033708910740977633,0.0003335629731778809,True,random_interpolation,7,VoltGuard topology-aware residual,topology_conditioned,1980,0.9565656565656566,0.0006671259463557584,0.9854014598540146,0.9981515711645101,0.9917355371900827,0.005559416261292564,1
feeder=69,4140,0.00022895587457235863,0.0002297763849689151,True,random_interpolation,7,VoltGuard topology-aware residual,topology_conditioned,4140,0.9545893719806763,0.0004595527699378418,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.2|load_bin=high_load,198,0.00038511046903618026,0.0003443839745228153,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,330,0.9757575757575757,0.0006887679490457069,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.2|load_bin=low_load,198,8.034353759403788e-05,0.00014188782544380794,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,264,0.9848484848484849,0.0002837756508875522,0.9868421052631579,1.0,0.9933774834437086,0.005291005291005291,0
feeder=33|pv_bin=0.4|load_bin=high_load,231,0.0004288325147371637,0.00037895728834719055,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,264,0.9962121212121212,0.000757914576694277,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.4|load_bin=low_load,297,0.00017872132529220665,0.00020013799786000163,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,429,0.9813519813519813,0.00040027599572001166,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.6|load_bin=high_load,396,0.00037344691113735143,0.00035132969425206946,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,165,0.8424242424242424,0.0007026593885042219,0.9666666666666667,0.9830508474576272,0.9747899159663865,0.018867924528301886,1
feeder=33|pv_bin=0.6|load_bin=low_load,231,0.00014502115208281374,0.00018088953978781042,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,330,0.9363636363636364,0.00036177907957557823,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.8|load_bin=high_load,231,0.000448374265893466,0.0003925951871904106,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,99,0.8787878787878788,0.0007851903743807409,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.8|load_bin=low_load,198,0.00031596553545947865,0.0002984420387906444,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,99,0.7676767676767676,0.0005968840775811834,0.0,0.0,0.0,0.0,0
feeder=69|pv_bin=0.2|load_bin=high_load,1104,0.00013364207789550475,0.00014444801124192068,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,759,0.9117259552042161,0.0002888960224838403,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.2|load_bin=low_load,621,5.695978848769187e-05,8.564019443757548e-05,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,690,0.9652173913043478,0.00017128038887515452,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.4|load_bin=high_load,276,0.00036998559880610553,0.0003417302574710649,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,276,1.0,0.0006834605149421611,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.4|load_bin=low_load,414,7.395241163897078e-05,0.00011087713999449255,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,483,0.8240165631469979,0.00022175427998894374,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.6|load_bin=high_load,345,0.0003178071369279307,0.0003056584579298233,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,69,1.0,0.000611316915859638,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.6|load_bin=low_load,621,0.0002417088754790328,0.00024476527491139343,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,828,0.9939613526570048,0.0004895305498227108,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=high_load,483,0.00043133467155245943,0.0004025886756406058,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,276,0.9492753623188406,0.0008051773512812114,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=low_load,276,0.00017665714441928446,0.00019981894520839836,True,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,759,0.8814229249011858,0.00039963789041675606,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.2|load_bin=high_load,198,0.00038511046903618026,0.00038511046903618026,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,330,0.996969696969697,0.0007702209380724409,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.2|load_bin=low_load,198,8.034353759403788e-05,8.034353759403788e-05,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,264,0.7954545454545454,0.00016068707518801517,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.4|load_bin=high_load,231,0.0004288325147371637,0.0004288325147371637,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,264,0.9962121212121212,0.0008576650294742667,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.4|load_bin=low_load,297,0.00017872132529220665,0.00017872132529220665,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,429,0.9743589743589743,0.00035744265058435003,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.6|load_bin=high_load,396,0.00037344691113735143,0.00037344691113735143,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,165,0.8787878787878788,0.0007468938222747732,0.9666666666666667,0.9830508474576272,0.9747899159663865,0.018867924528301886,1
feeder=33|pv_bin=0.6|load_bin=low_load,231,0.00014502115208281374,0.00014502115208281374,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,330,0.8575757575757575,0.00029004230416562613,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.8|load_bin=high_load,231,0.000448374265893466,0.000448374265893466,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,99,0.9393939393939394,0.0008967485317869971,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.8|load_bin=low_load,198,0.00031596553545947865,0.00031596553545947865,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,99,0.7878787878787878,0.0006319310709188564,0.0,0.0,0.0,0.0,0
feeder=69|pv_bin=0.2|load_bin=high_load,1104,0.00013364207789550475,0.00013364207789550475,False,random_interpolation,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,759,0.9038208168642952,0.000267284155790918,1.0,1.0,1.0,0.0,0
