method,variant,calibration_fraction,repeat,calibration_scenarios,calibration_bus_samples,global_q,families_total_test,families_observed_calib,empty_test_families,min_family_bus_samples,min_family_scenario_samples,median_family_scenario_samples,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios
Boosting point + global conformal,global,0.1,0,12,648,0.0004715603021163154,1,1,0,648,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.876797385620915,0.0009431206042327321,0.9934782608695653,0.992399565689468,0.9929386203150462,0.001154068090017311,7,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,1,12,720,0.000735108672239439,1,1,0,720,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9465686274509804,0.0014702173444789213,0.9818569903948773,0.998914223669924,0.9903121636167922,0.0032698595883823814,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,2,12,540,0.0005862260993837801,1,1,0,540,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.918954248366013,0.001172452198767513,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,3,12,684,0.0004853315757867167,1,1,0,684,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8848039215686274,0.0009706631515733545,0.9934782608695653,0.992399565689468,0.9929386203150462,0.001154068090017311,7,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,4,12,612,0.00046167009772244517,1,1,0,612,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8705882352941177,0.0009233401954449259,0.9934782608695653,0.992399565689468,0.9929386203150462,0.001154068090017311,7,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,5,12,612,0.0004817903601581962,1,1,0,612,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8830065359477124,0.0009635807203163329,0.9934782608695653,0.992399565689468,0.9929386203150462,0.001154068090017311,7,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,6,12,648,0.0005286627005889236,1,1,0,648,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9019607843137255,0.001057325401177859,0.986021505376344,0.995656894679696,0.990815775256618,0.002500480861704174,4,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,7,12,576,0.000664762813266684,1,1,0,576,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9354575163398693,0.0013295256265333432,0.9850107066381156,0.998914223669924,0.9919137466307277,0.0026928255433737256,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,8,12,648,0.0005089111054675835,1,1,0,648,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8926470588235295,0.0010178222109351793,0.9913419913419913,0.99457111834962,0.9929539295392954,0.0015387574533564147,5,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.1,9,12,648,0.0004902167478096124,1,1,0,648,12,12.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8859477124183006,0.0009804334956191663,0.991332611050921,0.993485342019544,0.9924078091106291,0.0015387574533564147,6,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
