method,base_variant,calibration,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios,symmetric_width,symmetric_recall,symmetric_false_alarm_rate,symmetric_missed_violations,width_delta_vs_symmetric,missed_delta_vs_symmetric,false_alarm_delta_vs_symmetric
Boosting point + global conformal,global,symmetric,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9084967320261438,0.001096371314743628,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120,0.001096371314743628,0.996742671009772,0.002500480861704174,3,0.0,0,0.0
Boosting point + global conformal,global,asymmetric,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9053921568627451,0.0011622895636820472,0.9818569903948773,0.998914223669924,0.9903121636167922,0.0032698595883823814,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120,0.001096371314743628,0.996742671009772,0.002500480861704174,3,6.591824893841924e-05,-2,0.0007693787266782074
VoltGuard topology-aware residual,global,symmetric,6.772327532079156e-05,0.00011446658923916573,0.0008267977104926549,0.9498366013071895,0.0005274910307726799,0.9935205183585313,0.998914223669924,0.9962100703844071,0.001154068090017311,1,1.0,1.0,1.0,0.0,0,120,0.0005274910307726799,0.998914223669924,0.001154068090017311,1,0.0,0,0.0
VoltGuard topology-aware residual,global,asymmetric,6.772327532079156e-05,0.00011446658923916573,0.0008267977104926549,0.9462418300653594,0.0004967757266360659,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1,1.0,1.0,1.0,0.0,0,120,0.0005274910307726799,0.998914223669924,0.001154068090017311,1,-3.0715304136614066e-05,0,-0.0005770340450086555
VoltGuard topology-aware residual,topology_pv_loading_conditioned,symmetric,6.772327532079156e-05,0.00011446658923916573,0.0008267977104926549,0.9366013071895425,0.00043340417492045255,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1,1.0,1.0,1.0,0.0,0,120,0.00043340417492045255,0.998914223669924,0.0005770340450086555,1,0.0,0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,asymmetric,6.772327532079156e-05,0.00011446658923916573,0.0008267977104926549,0.9197712418300653,0.00041111385347362403,0.9967532467532467,1.0,0.9983739837398374,0.0005770340450086555,0,1.0,1.0,1.0,0.0,0,120,0.00043340417492045255,0.998914223669924,0.0005770340450086555,1,-2.2290321446828524e-05,-1,0.0
