seed,feeder,scenario_id,load_relief,pv_curtail,predicted_risk_buses,predicted_interval_severity,predicted_mean_width,ldf_point_severity
7,33,3,0.0,0.0,21,0.03898963482234652,0.0006887679490457066,0.03542028411155673
7,33,3,0.0,0.1,21,0.039767803246397504,0.0005274910307726566,0.03625688714040243
7,33,3,0.0,0.2,21,0.040636855845522346,0.0005274910307726566,0.03709425684679302
7,33,3,0.1,0.0,17,0.028607690468271052,0.0006887679490457066,0.025694838562845157
7,33,3,0.1,0.1,17,0.029376312875611932,0.0005274910307726566,0.026522631006516306
7,33,3,0.1,0.2,18,0.03020876408733164,0.0005274910307726566,0.027351166138010696
7,33,3,0.2,0.0,16,0.018140974707884006,0.0002837756508875522,0.016070663163350152
7,33,3,0.2,0.1,16,0.01909584533526254,0.0005274910307726566,0.016889917647490815
7,33,3,0.2,0.2,16,0.019927943119163793,0.0005274910307726566,0.017709892055231435
7,33,11,0.0,0.0,0,0.0,0.00036177907957557823,0.0
7,33,11,0.0,0.1,0,0.0,0.0005274910307726566,0.0
7,33,11,0.0,0.2,0,0.0,0.0005274910307726566,0.0
7,33,11,0.1,0.0,0,0.0,0.00036177907957557487,0.0
7,33,11,0.1,0.1,0,0.0,0.0005274910307726532,0.0
7,33,11,0.1,0.2,0,0.0,0.0005274910307726532,0.0
7,33,11,0.2,0.0,0,0.0,0.00036177907957557487,0.0
7,33,11,0.2,0.1,0,0.0,0.0005274910307726532,0.0
7,33,11,0.2,0.2,0,0.0,0.0005274910307726532,0.0
7,33,13,0.0,0.0,14,0.017338834798613867,0.0007579145766942741,0.014963082406346917
7,33,13,0.0,0.1,14,0.019431412740696263,0.0005274910307726532,0.017085778112938543
7,33,13,0.0,0.2,16,0.021624446215435356,0.0005274910307726566,0.019213314698129813
7,33,13,0.1,0.0,6,0.007805751538963568,0.0004002759957200086,0.0061622356566599645
7,33,13,0.1,0.1,9,0.010071834972588012,0.0005274910307726532,0.008265093809974755
7,33,13,0.1,0.2,10,0.012351350859226673,0.0005274910307726566,0.010372658085750719
7,33,13,0.2,0.0,0,0.0,0.00040027599572001193,0.0
7,33,13,0.2,0.1,2,0.000850327244082516,0.0005274910307726566,0.0
7,33,13,0.2,0.2,3,0.0030224517566462827,0.0005274910307726566,0.0016144086868294938
7,33,17,0.0,0.0,0,0.0,0.00036177907957557487,0.0
7,33,17,0.0,0.1,0,0.0,0.0005274910307726566,0.0
7,33,17,0.0,0.2,0,0.0,0.0005274910307726566,0.0
7,33,17,0.1,0.0,0,0.0,0.00036177907957557487,0.0
7,33,17,0.1,0.1,0,0.0,0.0005274910307726532,0.0
7,33,17,0.1,0.2,0,0.0,0.0005274910307726532,0.0
7,33,17,0.2,0.0,0,0.0,0.00036177907957557487,0.0
7,33,17,0.2,0.1,0,0.0,0.0005274910307726566,0.0
7,33,17,0.2,0.2,0,0.0,0.0005274910307726532,0.0
7,33,18,0.0,0.0,0,0.0,0.00036177907957557823,0.0
7,33,18,0.0,0.1,0,0.0,0.0005274910307726566,0.0
7,33,18,0.0,0.2,1,0.00013217554825573075,0.0005274910307726566,0.0
7,33,18,0.1,0.0,0,0.0,0.00036177907957557823,0.0
7,33,18,0.1,0.1,0,0.0,0.0005274910307726566,0.0
7,33,18,0.1,0.2,0,0.0,0.0005274910307726566,0.0
7,33,18,0.2,0.0,0,0.0,0.00036177907957557823,0.0
7,33,18,0.2,0.1,0,0.0,0.0005274910307726566,0.0
7,33,18,0.2,0.2,0,0.0,0.0005274910307726566,0.0
7,33,22,0.0,0.0,10,0.01152480163887959,0.0002837756508875522,0.00989982674109302
7,33,22,0.0,0.1,11,0.012414744023694801,0.0005274910307726566,0.010600577833890235
7,33,22,0.0,0.2,11,0.013162680861290577,0.0005274910307726566,0.011301852046881278
7,33,22,0.1,0.0,4,0.004355472991428022,0.0002837756508875522,0.0030435260368669725
7,33,22,0.1,0.1,4,0.005185027203992276,0.0005274910307726566,0.0037391996995310706
7,33,22,0.1,0.2,6,0.005901259522235414,0.0005274910307726566,0.004435385185190932
7,33,22,0.2,0.0,0,0.0,0.0002837756508875522,0.0
7,33,22,0.2,0.1,0,0.0,0.0005274910307726566,0.0
7,33,22,0.2,0.2,0,0.0,0.0005274910307726566,0.0
7,33,27,0.0,0.0,15,0.017023137250125164,0.0002837756508875522,0.015050209802442427
7,33,27,0.0,0.1,16,0.01828128463262979,0.0005274910307726566,0.016163611459068306
7,33,27,0.0,0.2,16,0.01941004002029334,0.0005274910307726566,0.01727834219640667
7,33,27,0.1,0.0,11,0.008722160270281831,0.0002837756508875522,0.0072387848459728454
7,33,27,0.1,0.1,11,0.00996542700810843,0.0005274910307726566,0.008342950341574173
7,33,27,0.1,0.2,12,0.011139408674108564,0.0005274910307726566,0.009448412077187274
7,33,27,0.2,0.0,2,0.0006935582126126327,0.0002837756508875522,0.0
7,33,27,0.2,0.1,3,0.0019210024946000326,0.0005274910307726566,0.0005867086565238822
7,33,27,0.2,0.2,5,0.0030620766797276877,0.0005274910307726566,0.001683128826463709
7,33,31,0.0,0.0,0,0.0,0.0004002759957200086,0.0
7,33,31,0.0,0.1,0,0.0,0.0005274910307726532,0.0
7,33,31,0.0,0.2,0,0.0,0.0005274910307726566,0.0
7,33,31,0.1,0.0,0,0.0,0.00040027599572001193,0.0
7,33,31,0.1,0.1,0,0.0,0.0005274910307726566,0.0
7,33,31,0.1,0.2,0,0.0,0.0005274910307726532,0.0
7,33,31,0.2,0.0,0,0.0,0.00040027599572001193,0.0
7,33,31,0.2,0.1,0,0.0,0.0005274910307726566,0.0
7,33,31,0.2,0.2,0,0.0,0.0005274910307726566,0.0
7,33,38,0.0,0.0,0,0.0,0.0005968840775811834,0.0
7,33,38,0.0,0.1,0,0.0,0.0005274910307726566,0.0
7,33,38,0.0,0.2,0,0.0,0.0005274910307726566,0.0
7,33,38,0.1,0.0,0,0.0,0.0005968840775811868,0.0
7,33,38,0.1,0.1,0,0.0,0.0005274910307726532,0.0
7,33,38,0.1,0.2,0,0.0,0.0005274910307726532,0.0
7,33,38,0.2,0.0,0,0.0,0.0005968840775811834,0.0
7,33,38,0.2,0.1,0,0.0,0.0005274910307726566,0.0
7,33,38,0.2,0.2,0,0.0,0.0005274910307726532,0.0
7,33,47,0.0,0.0,12,0.015227226862094878,0.0007579145766942775,0.012944663453272387
