split_name,runs,delta_rmse_mean,delta_rmse_std,delta_rmse_ci95,delta_rmse_all_positive,delta_rmse_all_negative,delta_coverage_mean,delta_coverage_std,delta_coverage_ci95,delta_coverage_all_positive,delta_coverage_all_negative,delta_avg_width_mean,delta_avg_width_std,delta_avg_width_ci95,delta_avg_width_all_positive,delta_avg_width_all_negative,delta_recall_mean,delta_recall_std,delta_recall_ci95,delta_recall_all_positive,delta_recall_all_negative,delta_false_alarm_rate_mean,delta_false_alarm_rate_std,delta_false_alarm_rate_ci95,delta_false_alarm_rate_all_positive,delta_false_alarm_rate_all_negative,delta_missed_violations_mean,delta_missed_violations_std,delta_missed_violations_ci95,delta_missed_violations_all_positive,delta_missed_violations_all_negative
pv_penetration_shift,3,-0.0014535988788694665,2.8436937909614554e-06,3.217942456380749e-06,False,True,-0.026517355051386454,0.0019745406102788803,0.002234403043625905,False,True,-0.0004429396235242,9.880774117238702e-06,1.1181148488923717e-05,False,True,0.0006447453255964039,0.0011167316618755098,0.0012637008381689515,False,False,-0.0001572574304136,0.0001572574304136,0.00017795353477146716,False,False,-0.3333333333333333,0.5773502691896258,0.6533333333333334,False,False
random_interpolation,3,-0.0005908465125281,0.00026691972102077803,0.0003020480986553974,False,True,0.01928104575163392,0.011186547076315478,0.012658769692993798,True,False,-0.0007796905329144334,0.00010182423876117475,0.00011522497325123422,False,True,0.0015241836717987771,0.0005637283607979888,0.0006379186928788289,True,False,-0.0006968844233971667,0.001772110675091781,0.0020053320075841766,False,False,-1.3333333333333333,0.5773502691896257,0.6533333333333333,False,True
supplementary_118_random,1,0.0010613874311215998,,,True,False,0.020903954802259817,,,True,False,0.00206372609519,,,True,False,0.05622489959839361,,,True,False,0.008637095593617299,,,True,False,-14.0,,,False,True
synthetic_time_block,3,-0.0007403234521062,9.270159702942808e-06,1.0490173231852709e-05,False,True,0.04025054466230937,0.004173336112089477,0.004722574386357946,True,False,-0.0005830252252346668,1.6039308010675813e-05,1.8150185643254842e-05,False,True,0.0014005602240895938,0.0006064603667957592,0.0006862745098038467,True,False,-0.0010964912280701999,0.00022343276671424114,0.00025283797729617,False,True,-1.3333333333333333,0.5773502691896257,0.6533333333333333,False,True
topology_heldout_33_to_69,3,-0.0006072443642314333,3.564340455077935e-05,4.0334309255965295e-05,False,True,0.0024154589371980784,0.004913412657775233,0.005560049836388242,False,False,-0.0007759236955147669,9.904092009435048e-05,0.00011207535167943248,False,True,0.0,0.0,0.0,False,False,-0.0012857695407511,0.0001028904459289657,0.0001164315002420928,False,True,0.0,0.0,0.0,False,False
