seed,target_fraction,protocol,method,conformal_variant,target_calibration_buses,target_test_buses,target_calibration_scenarios,target_test_scenarios,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios
7,0.0,source_only,Boosting point + global conformal,global,0,6876,0,132,0.0007273681202005517,0.002069988969465557,0.02816453617304493,0.797847585805701,0.0012585304296160275,0.9772296015180265,0.9961315280464217,0.9865900383141762,0.0018870891649630445,2,1.0,1.0,1.0,0.0,0,132
7,0.0,source_only,VoltGuard topology-aware residual,global,0,6876,0,132,0.0003109190556599805,0.0006185471413133229,0.0053461275545356735,0.7694880744618965,0.0008073615770040739,0.9809885931558935,0.9980657640232108,0.9894534995206136,0.0015725743041358703,1,1.0,1.0,1.0,0.0,0,132
7,0.0,source_only,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0,6876,0,132,0.0003109190556599805,0.0006185471413133229,0.0053461275545356735,0.7694880744618965,0.0008073615770040739,0.9809885931558935,0.9980657640232108,0.9894534995206136,0.0015725743041358703,1,1.0,1.0,1.0,0.0,0,132
7,0.1,source_plus_target_high_pv,Boosting point + global conformal,global,816,6060,16,116,0.0006554702865117151,0.001665794838253966,0.020202105149040417,0.8244224422442245,0.001391460537378828,0.9744136460554371,0.9956427015250545,0.9849137931034483,0.0021424745581146223,2,1.0,1.0,1.0,0.0,0,116
7,0.1,source_plus_target_high_pv,VoltGuard topology-aware residual,global,816,6060,16,116,0.00028329766158328887,0.0005320717515726652,0.0030529950583004783,0.816006600660066,0.0009397348273926929,0.9807692307692307,1.0,0.9902912621359223,0.0016068559185859668,0,1.0,1.0,1.0,0.0,0,116
7,0.1,source_plus_target_high_pv,VoltGuard topology-aware residual,topology_pv_loading_conditioned,816,6060,16,116,0.00028329766158328887,0.0005320717515726652,0.0030529950583004783,0.9064356435643565,0.0021451084804155595,0.9483471074380165,1.0,0.9734888653234358,0.004463488662738797,0,0.9696969696969697,1.0,0.9846153846153847,0.038461538461538464,0,116
7,0.2,source_plus_target_high_pv,Boosting point + global conformal,global,1497,5379,29,103,0.0007727297264131392,0.002224975633203625,0.02816453617304493,0.7971741959472021,0.0013322890270502205,0.9714964370546318,0.9975609756097561,0.9843561973525873,0.002414972831555645,1,1.0,1.0,1.0,0.0,0,103
7,0.2,source_plus_target_high_pv,VoltGuard topology-aware residual,global,1497,5379,29,103,0.0003209776509183295,0.0006416679277907274,0.0053461275545356735,0.7865774307492099,0.0009034831187149034,0.9784688995215312,0.9975609756097561,0.9879227053140096,0.0018112296236667338,1,1.0,1.0,1.0,0.0,0,103
7,0.2,source_plus_target_high_pv,VoltGuard topology-aware residual,topology_pv_loading_conditioned,1497,5379,29,103,0.0003209776509183295,0.0006416679277907274,0.0053461275545356735,0.8813905930470347,0.0017449656554970445,0.9624413145539906,1.0,0.9808612440191388,0.0032199637754075265,0,1.0,1.0,1.0,0.0,0,103
7,0.4,source_plus_target_high_pv,Boosting point + global conformal,global,2859,4017,55,77,0.0007380400609130731,0.0019675170549221903,0.02497499922906199,0.8202638785163057,0.00147571806297452,0.9761904761904762,0.9969604863221885,0.9864661654135338,0.0021691973969631237,1,1.0,1.0,1.0,0.0,0,77
7,0.4,source_plus_target_high_pv,VoltGuard topology-aware residual,global,2859,4017,55,77,0.000308207880821428,0.0006073418410956258,0.0053461275545356735,0.813293502613891,0.0010113414132857312,0.982089552238806,1.0,0.9909638554216867,0.0016268980477223427,0,1.0,1.0,1.0,0.0,0,77
7,0.4,source_plus_target_high_pv,VoltGuard topology-aware residual,topology_pv_loading_conditioned,2859,4017,55,77,0.000308207880821428,0.0006073418410956258,0.0053461275545356735,0.8757779437391088,0.0017723740826253896,0.9591836734693877,1.0,0.9791666666666666,0.003796095444685466,0,0.9782608695652174,1.0,0.989010989010989,0.03125,0,77
17,0.0,source_only,Boosting point + global conformal,global,0,6876,0,132,0.0007230720972739662,0.0020711700080005544,0.02844182810524787,0.7953752181500873,0.001239944103689429,0.9809885931558935,0.9980657640232108,0.9894534995206136,0.0015725743041358703,1,1.0,1.0,1.0,0.0,0,132
17,0.0,source_only,VoltGuard topology-aware residual,global,0,6876,0,132,0.0003113200858565861,0.0006186366521695107,0.005354187496212193,0.7686154741128564,0.000807963036455034,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1,1.0,1.0,1.0,0.0,0,132
17,0.0,source_only,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0,6876,0,132,0.0003113200858565861,0.0006186366521695107,0.005354187496212193,0.7686154741128564,0.000807963036455034,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1,1.0,1.0,1.0,0.0,0,132
17,0.1,source_plus_target_high_pv,Boosting point + global conformal,global,816,6060,16,116,0.0006810528685591607,0.0017776337669400462,0.025090399201302516,0.8102310231023102,0.0013287131444617117,0.977924944812362,0.9977477477477478,0.987736900780379,0.0017806267806267807,1,1.0,1.0,1.0,0.0,0,116
17,0.1,source_plus_target_high_pv,VoltGuard topology-aware residual,global,816,6060,16,116,0.00030827978733802253,0.000598556996733996,0.005354187496212193,0.7919141914191419,0.0009010780722735315,0.9800884955752213,0.9977477477477478,0.9888392857142857,0.0016025641025641025,1,1.0,1.0,1.0,0.0,0,116
17,0.1,source_plus_target_high_pv,VoltGuard topology-aware residual,topology_pv_loading_conditioned,816,6060,16,116,0.00030827978733802253,0.000598556996733996,0.005354187496212193,0.8681518151815182,0.001590556850965102,0.958963282937365,1.0,0.9790518191841234,0.003383190883190883,0,1.0,1.0,1.0,0.0,0,116
17,0.2,source_plus_target_high_pv,Boosting point + global conformal,global,1497,5379,29,103,0.0007517365581369963,0.0022017280776898377,0.02844182810524787,0.8129763896635063,0.0013747496101188161,0.9855072463768116,0.9975550122249389,0.991494532199271,0.0012072434607645875,1,1.0,1.0,1.0,0.0,0,103
17,0.2,source_plus_target_high_pv,VoltGuard topology-aware residual,global,1497,5379,29,103,0.00031766780681233465,0.000639900504675215,0.005354187496212193,0.7912251347834169,0.0009208520335151014,0.9855421686746988,1.0,0.9927184466019418,0.0012072434607645875,0,1.0,1.0,1.0,0.0,0,103
17,0.2,source_plus_target_high_pv,VoltGuard topology-aware residual,topology_pv_loading_conditioned,1497,5379,29,103,0.00031766780681233465,0.000639900504675215,0.005354187496212193,0.8720951849786206,0.0016009729810258595,0.9623529411764706,1.0,0.9808153477218226,0.0032193158953722333,0,1.0,1.0,1.0,0.0,0,103
17,0.4,source_plus_target_high_pv,Boosting point + global conformal,global,2859,4017,55,77,0.0007804254555049566,0.0024035553948552964,0.02844182810524787,0.8292257903908389,0.0014885149368590975,0.9721254355400697,1.0,0.9858657243816255,0.002140181915462814,0,1.0,1.0,1.0,0.0,0,77
17,0.4,source_plus_target_high_pv,VoltGuard topology-aware residual,global,2859,4017,55,77,0.0003147545853834074,0.000633430321800832,0.005354187496212193,0.8098083146626835,0.0010200428419526795,0.96875,1.0,0.9841269841269841,0.002407704654895666,0,1.0,1.0,1.0,0.0,0,77
17,0.4,source_plus_target_high_pv,VoltGuard topology-aware residual,topology_pv_loading_conditioned,2859,4017,55,77,0.0003147545853834074,0.000633430321800832,0.005354187496212193,0.889967637540453,0.0018381938293460772,0.9489795918367347,1.0,0.9738219895287958,0.0040128410914927765,0,0.9545454545454546,1.0,0.9767441860465116,0.05714285714285714,0,77
42,0.0,source_only,Boosting point + global conformal,global,0,6876,0,132,0.0007244056864819251,0.002076965825983379,0.028501539855752434,0.7937754508435136,0.0012628938958916334,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1,1.0,1.0,1.0,0.0,0,132
42,0.0,source_only,VoltGuard topology-aware residual,global,0,6876,0,132,0.0003122085209492034,0.0006201443733581717,0.005350281145544811,0.7693426410703897,0.0008172249451654952,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1,1.0,1.0,1.0,0.0,0,132
42,0.0,source_only,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0,6876,0,132,0.0003122085209492034,0.0006201443733581717,0.005350281145544811,0.7693426410703897,0.0008172249451654952,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1,1.0,1.0,1.0,0.0,0,132
42,0.1,source_plus_target_high_pv,Boosting point + global conformal,global,816,6060,16,116,0.0007141889441062121,0.0021163247863712994,0.028501539855752434,0.8234323432343235,0.001379746502324856,0.9827586206896551,0.9978118161925602,0.990228013029316,0.0014278065322148848,1,1.0,1.0,1.0,0.0,0,116
42,0.1,source_plus_target_high_pv,VoltGuard topology-aware residual,global,816,6060,16,116,0.0003000401404987629,0.0006104119287617901,0.005350281145544811,0.8174917491749175,0.0009565027080116254,0.9827586206896551,0.9978118161925602,0.990228013029316,0.0014278065322148848,1,1.0,1.0,1.0,0.0,0,116
42,0.1,source_plus_target_high_pv,VoltGuard topology-aware residual,topology_pv_loading_conditioned,816,6060,16,116,0.0003000401404987629,0.0006104119287617901,0.005350281145544811,0.9112211221122112,0.0019323162136939101,0.9520833333333333,1.0,0.9754535752401281,0.004104943780117794,0,0.9705882352941176,1.0,0.9850746268656716,0.04,0,116
42,0.2,source_plus_target_high_pv,Boosting point + global conformal,global,1497,5379,29,103,0.0006963366912674519,0.0018415607339977323,0.02515011095180708,0.8131622978248745,0.0013780765227338141,0.9753086419753086,0.9974747474747475,0.9862671660424469,0.002006823198876179,1,1.0,1.0,1.0,0.0,0,103
42,0.2,source_plus_target_high_pv,VoltGuard topology-aware residual,global,1497,5379,29,103,0.0003035758866210677,0.0006032118188692459,0.005350281145544811,0.8072132366610895,0.0009568660315380013,0.9777777777777777,1.0,0.9887640449438202,0.001806140878988561,0,1.0,1.0,1.0,0.0,0,103
