split_name,method,conformal_variant,mae_mean,mae_std,mae_ci95,rmse_mean,rmse_std,rmse_ci95,max_abs_error_mean,max_abs_error_std,max_abs_error_ci95,coverage_mean,coverage_std,coverage_ci95,avg_width_mean,avg_width_std,avg_width_ci95,recall_mean,recall_std,recall_ci95,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci95,missed_violations_mean,missed_violations_std,missed_violations_ci95,runs
pv_penetration_shift,Boosting point + global conformal,global,0.0007249486346521477,2.198874208111534e-06,2.488260407295946e-06,0.0020727082678164968,3.7341416903454914e-06,4.22557911182182e-06,0.028369301378015077,0.0001798275984434252,0.00020349408424330954,0.7956660849331006,0.0020515904566122934,0.0023215931526882707,0.0012537894763990302,1.2187317940605732e-05,1.3791248535668219e-05,0.9974210186976143,0.0011167316618754459,0.001263700838168879,0.0016249934476070661,0.00024021469282150445,0.00027182851442504575,1.3333333333333333,0.5773502691896257,0.6533333333333333,3
pv_penetration_shift,VoltGuard topology-aware residual,global,0.00031148255415525665,6.599069207716847e-07,7.467549791613533e-07,0.0006191093889470017,8.974394669655979e-07,1.015548358954605e-06,0.005350198732097559,4.030602801001223e-06,4.56105643982285e-06,0.7691487298817141,0.00046750294555907625,0.0005290293848723322,0.0008108498528748677,5.5291762183259386e-06,6.256851900972821e-06,0.9980657640232108,0.0,0.0,0.0014677360171934791,9.079261978135328e-05,0.00010274152120354348,1.0,0.0,0.0,3
pv_penetration_shift,VoltGuard topology-aware residual,pv_conditioned,0.00031148255415525665,6.599069207716847e-07,7.467549791613533e-07,0.0006191093889470017,8.974394669655979e-07,1.015548358954605e-06,0.005350198732097559,4.030602801001223e-06,4.56105643982285e-06,0.7691487298817141,0.00046750294555907625,0.0005290293848723322,0.0008108498528748677,5.5291762183259386e-06,6.256851900972821e-06,0.9980657640232108,0.0,0.0,0.0014677360171934791,9.079261978135328e-05,0.00010274152120354348,1.0,0.0,0.0,3
pv_penetration_shift,VoltGuard topology-aware residual,topology_conditioned,0.00031148255415525665,6.599069207716847e-07,7.467549791613533e-07,0.0006191093889470017,8.974394669655979e-07,1.015548358954605e-06,0.005350198732097559,4.030602801001223e-06,4.56105643982285e-06,0.7747721543533062,0.0007463062011993579,0.0008445249688742592,0.0008311922390399268,8.581619941934012e-06,9.71101714377498e-06,0.9980657640232108,0.0,0.0,0.0014153168737222833,0.0,0.0,1.0,0.0,0.0,3
pv_penetration_shift,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.00031148255415525665,6.599069207716847e-07,7.467549791613533e-07,0.0006191093889470017,8.974394669655979e-07,1.015548358954605e-06,0.005350198732097559,4.030602801001223e-06,4.56105643982285e-06,0.7691487298817141,0.00046750294555907625,0.0005290293848723322,0.0008108498528748677,5.5291762183259386e-06,6.256851900972821e-06,0.9980657640232108,0.0,0.0,0.0014677360171934791,9.079261978135328e-05,0.00010274152120354348,1.0,0.0,0.0,3
pv_penetration_shift,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.00031148255415525665,6.599069207716847e-07,7.467549791613533e-07,0.0006191093889470017,8.974394669655979e-07,1.015548358954605e-06,0.005350198732097559,4.030602801001223e-06,4.56105643982285e-06,0.7691487298817141,0.00046750294555907625,0.0005290293848723322,0.0008108498528748677,5.5291762183259386e-06,6.256851900972821e-06,0.9980657640232108,0.0,0.0,0.0014677360171934791,9.079261978135328e-05,0.00010274152120354348,1.0,0.0,0.0,3
random_interpolation,Boosting point + global conformal,global,0.00034910364961083005,5.367915642168296e-05,6.074368380346415e-05,0.000759869093895543,0.00031185359246169256,0.00035289556088879975,0.013179654060130627,0.007606476306881955,0.008607538240991102,0.9046840958605665,0.007911489557766898,0.008952693226700559,0.0012740411192761426,0.0001543229930036518,0.00017463290624350193,0.9981138908848425,0.001188973367573169,0.0013454500239022235,0.002404016934518332,0.0012144968106687006,0.0013743325187162518,1.6666666666666667,1.1547005383792517,1.3066666666666669,3
random_interpolation,Neural graph residual ablation,topology_conditioned,0.001300437359272533,0.0,0.0,0.0017109061663356864,0.0,0.0,0.009661935917266828,0.0,0.0,0.9133986928104575,0.0,0.0,0.0053979856988462,0.0,0.0,0.997828447339848,0.0,0.0,0.023273706482015773,0.0,0.0,2.0,0.0,0.0,1
random_interpolation,VoltGuard topology-aware residual,global,8.826279297697627e-05,1.8091307533303402e-05,2.0472241697716247e-05,0.0001690225813674362,4.724700589448141e-05,5.346502028030205e-05,0.002158598911366975,0.0011754506681383842,0.0013301476489508905,0.920479302832244,0.027522051115280124,0.031144132695312934,0.0005362082731361717,2.2458352034912764e-05,2.541401776210804e-05,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.001773326428090322,0.0005742726834226439,0.000649850717190132,0.3333333333333333,0.5773502691896258,0.6533333333333334,3
random_interpolation,VoltGuard topology-aware residual,pv_conditioned,8.826279297697627e-05,1.8091307533303402e-05,2.0472241697716247e-05,0.0001690225813674362,4.724700589448141e-05,5.346502028030205e-05,0.002158598911366975,0.0011754506681383842,0.0013301476489508905,0.926470588235294,0.018387254248540236,0.02080713693250348,0.0005426993859407737,6.173946120178595e-05,6.986477730716821e-05,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.0017071325111211652,0.0010003126909679937,0.0011319603707521733,0.3333333333333333,0.5773502691896258,0.6533333333333334,3
