policy,top_k_candidates,runs,test_scenarios_mean,test_scenarios_std,test_scenarios_ci95,candidate_grid_size_mean,candidate_grid_size_std,candidate_grid_size_ci95,candidate_ac_audits_mean,candidate_ac_audits_std,candidate_ac_audits_ci95,candidate_ac_audits_avoided_mean,candidate_ac_audits_avoided_std,candidate_ac_audits_avoided_ci95,audit_reduction_ratio_mean,audit_reduction_ratio_std,audit_reduction_ratio_ci95,full_best_in_subset_rate_mean,full_best_in_subset_rate_std,full_best_in_subset_rate_ci95,same_action_as_full_rate_mean,same_action_as_full_rate_std,same_action_as_full_rate_ci95,post_action_violating_scenarios_mean,post_action_violating_scenarios_std,post_action_violating_scenarios_ci95,full_post_action_violating_scenarios_mean,full_post_action_violating_scenarios_std,full_post_action_violating_scenarios_ci95,extra_violating_scenarios_vs_full_mean,extra_violating_scenarios_vs_full_std,extra_violating_scenarios_vs_full_ci95,post_action_violating_buses_mean,post_action_violating_buses_std,post_action_violating_buses_ci95,full_post_action_violating_buses_mean,full_post_action_violating_buses_std,full_post_action_violating_buses_ci95,extra_violating_buses_vs_full_mean,extra_violating_buses_vs_full_std,extra_violating_buses_vs_full_ci95,action_cost_proxy_mw_mean,action_cost_proxy_mw_std,action_cost_proxy_mw_ci95,full_action_cost_proxy_mw_mean,full_action_cost_proxy_mw_std,full_action_cost_proxy_mw_ci95,action_cost_delta_vs_full_mw_mean,action_cost_delta_vs_full_mw_std,action_cost_delta_vs_full_mw_ci95,accepted_pv_mw_mean,accepted_pv_mw_std,accepted_pv_mw_ci95,curtailed_pv_mw_mean,curtailed_pv_mw_std,curtailed_pv_mw_ci95,relieved_load_mw_mean,relieved_load_mw_std,relieved_load_mw_ci95
Cheapest-first,3,3,120.0,0.0,0.0,9.0,0.0,0.0,360.0,0.0,0.0,720.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.39999999999999997,0.033333333333333354,0.03772021758705557,0.39999999999999997,0.033333333333333354,0.03772021758705557,79.0,2.0,2.263213055223333,49.666666666666664,3.214550253664318,3.6376060503822805,29.333333333333332,2.081665999466133,2.3556268333031403,745.6666666666666,86.55826554023211,97.94989830407064,381.3333333333333,34.19551627528576,38.69586943216435,364.3333333333333,58.82459802950917,66.56629911432495,13.377391824632397,3.0331963319471056,3.432384768759108,58.96208965203427,0.8418803195251168,0.9526772650424177,-45.584697827401875,3.486663509789007,3.945531187262644,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,13.377391824632397,3.0331963319471056,3.432384768759108
Full AC grid search,9,3,120.0,0.0,0.0,9.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.666666666666664,3.214550253664318,3.6376060503822805,49.666666666666664,3.214550253664318,3.6376060503822805,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,381.3333333333333,34.19551627528576,38.69586943216435,0.0,0.0,0.0,58.96208965203427,0.8418803195251168,0.9526772650424177,58.96208965203427,0.8418803195251168,0.9526772650424177,0.0,0.0,0.0,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,58.96208965203427,0.8418803195251168,0.9526772650424177
LinDistFlow point-risk,3,3,120.0,0.0,0.0,9.0,0.0,0.0,360.0,0.0,0.0,720.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.9249999999999999,0.014433756729740658,0.01633333333333335,0.9249999999999999,0.014433756729740658,0.01633333333333335,50.333333333333336,2.8867513459481287,3.2666666666666666,49.666666666666664,3.214550253664318,3.6376060503822805,0.6666666666666666,0.5773502691896258,0.6533333333333334,382.6666666666667,33.54598833442434,37.9608593744194,381.3333333333333,34.19551627528576,38.69586943216435,1.3333333333333333,1.1547005383792517,1.3066666666666669,65.6596753916022,1.8021793398111676,2.039357904857201,58.96208965203427,0.8418803195251168,0.9526772650424177,6.697585739567937,1.76253281471299,1.9944936382589835,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,65.6596753916022,1.8021793398111676,2.039357904857201
VoltGuard interval-risk,3,3,120.0,0.0,0.0,9.0,0.0,0.0,360.0,0.0,0.0,720.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.8416666666666667,0.06821127309893706,0.07718832189545924,0.8416666666666667,0.06821127309893706,0.07718832189545924,49.666666666666664,3.214550253664318,3.6376060503822805,49.666666666666664,3.214550253664318,3.6376060503822805,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,381.3333333333333,34.19551627528576,38.69586943216435,0.0,0.0,0.0,70.55101741033342,4.704472258296774,5.323611516456628,58.96208965203427,0.8418803195251168,0.9526772650424177,11.588927758299135,4.357131024812962,4.930557909337658,219.94153392185285,26.385034452271785,29.857477217449468,2.575542581016496,1.7458469586697591,1.9756118146416748,67.97547482931691,3.106821068335708,3.5156990010501388
