variant,feature_family,runs,mae_mean,mae_std,mae_ci95,rmse_mean,rmse_std,rmse_ci95,max_abs_error_mean,max_abs_error_std,max_abs_error_ci95,coverage_mean,coverage_std,coverage_ci95,avg_width_mean,avg_width_std,avg_width_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci95,missed_violations_mean,missed_violations_std,missed_violations_ci95,mean_q_used_mean,mean_q_used_std,mean_q_used_ci95
direct,full_topology_electrical,3,0.0001425354136467267,2.2431543405673804e-05,2.538368094226491e-05,0.0002890491431464485,8.745588018001745e-05,9.896564488973153e-05,0.004219703654332811,0.002389661583802815,0.002704156647014099,0.9111111111111111,0.003026186140106547,0.003424451989912522,0.0007283286765491058,0.00011952047232418459,0.0001352501466652768,0.9820018506202698,0.003637356736246211,0.00411605662598848,0.9984758163282011,0.0005637283607979888,0.0006379186928788289,0.9901673594253397,0.0015923220015471556,0.0018018819710104354,0.0029780566204747755,0.0004143449512488738,0.0004688754515161633,1.3333333333333333,0.5773502691896257,0.6533333333333333,0.00036416433827454693,5.976023616209549e-05,6.762507333264203e-05
residual,local_operating,3,0.00045584486864901807,3.638801798474206e-05,4.1176918678384836e-05,0.0007301828875197624,5.690999909595166e-05,6.439972646335294e-05,0.0056131799833030556,0.00021886363532330828,0.00024766751838867495,0.9219498910675382,0.007831781903276155,0.008862495524578217,0.0020746363059584634,0.00016442182127075888,0.00018606080623178952,0.9773719856015801,0.007585694974086996,0.008584021949147857,0.9962091897092388,0.0014891478357148152,0.0016851294114736705,0.9866866610152051,0.0031334822254252387,0.0035458689404463317,0.003734961208677147,0.0010696243598866141,0.001210393907740143,3.3333333333333335,1.5275252316519465,1.7285575232288657,0.0010373181529792312,8.221091063538418e-05,9.303040311590013e-05
residual,local_topology,3,0.00011510365032301312,1.5670305883041885e-05,1.7732620426921697e-05,0.00022199118199970472,3.584466121264055e-05,4.0562052608252765e-05,0.0016838128743805376,0.00028709421180886916,0.0003248776841224427,0.9169389978213509,0.022318331511443915,0.025255569623751084,0.0007119199543882537,4.5576783871076676e-05,5.1574986136056485e-05,0.9819502579546328,0.006336829855188671,0.007170798028495992,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.9907069647325626,0.0029113376726047856,0.0032944887144013327,0.002975427412379253,0.0009191438856742649,0.0010401092208433497,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.0003559599771941367,2.2788391935539568e-05,2.5787493068029635e-05
residual,full_topology_electrical,3,8.824943569773888e-05,1.8042092818045067e-05,2.0416550004675365e-05,0.00016908534643368168,4.736986325934577e-05,5.3604046476347724e-05,0.002104561349559164,0.0010783621213604688,0.0012202816156606706,0.924128540305011,0.01806596521658496,0.020443564166692855,0.0004952837645440957,5.417053072141266e-05,6.12997261685389e-05,0.9894873202557721,0.006307666292017653,0.007137796350043252,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.9945286879824421,0.0028700267658373596,0.0032477410226417563,0.0017071325111211652,0.0010003126909679937,0.0011319603707521733,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.00024764188227204876,2.7085265360713904e-05,3.0649863084278015e-05
