seed,variant,feature_family,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,mean_q_used
7,direct,full_topology_electrical,0.00011684365510939945,0.00019646175983711563,0.0018412312831806998,0.9081699346405229,0.0005919870609520764,0.9860515021459227,0.997828447339848,0.9919050188882893,0.002500480861704174,2,0.000295993530476028
7,residual,local_operating,0.00041383907707612277,0.0006653075525180559,0.005735214360372498,0.9266339869281046,0.0019231857965208187,0.9860064585575888,0.99457111834962,0.9902702702702703,0.002500480861704174,5,0.0009615928982604064
7,residual,local_topology,9.765152525143583e-05,0.00018083891480049068,0.0014946948271247207,0.9292483660130719,0.0006694666996435296,0.989247311827957,0.998914223669924,0.9940572663425176,0.0019234468166955184,1,0.00033473334982177456
7,residual,full_topology_electrical,6.771161882833274e-05,0.00011438775495566682,0.0008701835353575049,0.9375816993464052,0.0004374856824328522,0.9967497291440953,0.998914223669924,0.9978308026030369,0.0005770340450086555,1,0.00021874284121642094
17,direct,full_topology_electrical,0.00015253097766872333,0.0003004255995581927,0.004197480236846296,0.9109477124183006,0.0007779693414207545,0.9809417040358744,0.9988584474885844,0.9898190045248869,0.0032418001525553013,1,0.00038898467071037595
17,residual,local_operating,0.00047769803416253557,0.0007535573779610251,0.005360506855708547,0.9129084967320261,0.0020512071724571876,0.9743303571428571,0.9965753424657534,0.9853273137697517,0.0043859649122807015,3,0.00102560358622859
17,residual,local_topology,0.00012796806812782045,0.0002464024056533194,0.002014166002272666,0.8911764705882353,0.0007062108415774406,0.9787709497206704,1.0,0.9892715979672502,0.0036231884057971015,0,0.0003531054207887283
17,residual,full_topology_electrical,0.00010154583020739027,0.00019624958842100258,0.0025799813473741384,0.9035947712418301,0.0005034709086118513,0.9853768278965129,1.0,0.9926345609065156,0.002479023646071701,0,0.0002517354543059225
42,direct,full_topology_electrical,0.0001582316081620573,0.00037026007004403716,0.006620399442971436,0.9142156862745098,0.0008150296272744864,0.9790123456790123,0.9987405541561712,0.9887780548628429,0.0031918888471648517,1,0.00040751481363723673
42,residual,local_operating,0.0004759974947083958,0.0007716837320802061,0.005743818733828121,0.9263071895424837,0.002249515948897383,0.9717791411042945,0.9974811083123426,0.9844623990055935,0.004318437852046564,2,0.0011247579744486974
42,residual,local_topology,0.00011969135758978306,0.000238732225545304,0.0015425777937442264,0.9303921568627451,0.0007600823219437907,0.9778325123152709,1.0,0.9887920298879203,0.003379647014645137,0,0.0003800411609719072
42,residual,full_topology_electrical,9.54908580574936e-05,0.0001966186959243757,0.002863519165945849,0.9312091503267974,0.0005448947025875836,0.986335403726708,1.0,0.9931207004377736,0.0020653398422831393,0,0.00027244735129380285
