method,variant,alpha,nominal_coverage,test_scenarios,risky_scenarios,screened_safe_scenarios,screened_safe_ratio,ac_optimization_calls_avoided,flagged_for_ac_optimization,risky_scenario_recall,post_screening_violation_miss_rate,missed_risky_scenarios,bus_violation_recall,bus_false_alarm_rate,missed_bus_violations,mean_interval_width,available_pv_mw,accepted_pv_proxy_mw,curtailed_pv_proxy_mw,relieved_load_proxy_mw,proxy_action_cost_mw
Boosting point + global conformal,global,0.05,0.95,120,93,26,0.21666666666666667,26,94,1.0,0.0,0,0.998914223669924,0.0032698595883823814,1,0.0016100889157828634,191.23095295448223,191.23095295448223,0.0,35.64160569822138,35.64160569822138
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.05,0.95,120,93,26,0.21666666666666667,26,94,1.0,0.0,0,1.0,0.0015387574533564147,0,0.0006110543410621572,191.23095295448223,191.23095295448223,0.0,35.64160569822138,35.64160569822138
Boosting point + global conformal,global,0.1,0.9,120,93,26,0.21666666666666667,26,94,1.0,0.0,0,0.996742671009772,0.002500480861704174,3,0.0010963713147436201,191.23095295448223,191.23095295448223,0.0,35.64160569822138,35.64160569822138
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,120,93,27,0.225,27,93,1.0,0.0,0,0.998914223669924,0.0005770340450086555,1,0.00045817743515701284,191.23095295448223,191.23095295448223,0.0,35.33449156348388,35.33449156348388
Boosting point + global conformal,global,0.15,0.85,120,93,26,0.21666666666666667,26,94,1.0,0.0,0,0.991313789359392,0.001154068090017311,8,0.0008783522153530456,191.23095295448223,191.23095295448223,0.0,35.64160569822138,35.64160569822138
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.15,0.85,120,93,27,0.225,27,93,1.0,0.0,0,0.998914223669924,0.00038468936333910367,1,0.00036260586476376803,191.23095295448223,191.23095295448223,0.0,35.33449156348388,35.33449156348388
Boosting point + global conformal,global,0.2,0.8,120,93,27,0.225,27,93,1.0,0.0,0,0.988056460369164,0.00038468936333910367,11,0.0007524699871404173,191.23095295448223,191.23095295448223,0.0,35.33449156348388,35.33449156348388
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.2,0.8,120,93,27,0.225,27,93,1.0,0.0,0,0.998914223669924,0.00019234468166955183,1,0.00029211866092384355,191.23095295448223,191.23095295448223,0.0,35.33449156348388,35.33449156348388
