family,test_samples,violating_buses,nominal_coverage,q_current,q_required_for_empirical_target,q_audited_inflate_only,undercovered,coverage_current,coverage_audited,width_current,width_audited,width_increase,recall_current,recall_audited,missed_current,missed_audited,missed_recovered,false_alarm_current,false_alarm_audited
feeder=33|pv_bin=0.8|load_bin=low_load,99,0,0.9,0.0002984420387906,0.00038613943485602247,0.00038613943485602247,True,0.7676767676767676,0.9090909090909091,0.0005968840775812,0.0007722788697120449,0.0001753947921308449,0.0,0.0,0,0,0,0.0,0.0
feeder=69|pv_bin=0.4|load_bin=low_load,483,49,0.9,0.0001108771399944,0.00015492258140285218,0.00015492258140285218,True,0.8240165631469979,0.9026915113871635,0.0002217542799888,0.00030984516280570436,8.809088281690436e-05,1.0,1.0,0,0,0,0.0,0.0
feeder=33|pv_bin=0.6|load_bin=high_load,165,59,0.9,0.000351329694252,0.0004452641001988299,0.0004452641001988299,True,0.8424242424242424,0.9090909090909091,0.000702659388504,0.0008905282003976598,0.00018786881189365972,0.9830508474576272,0.9830508474576272,1,1,0,0.018867924528301886,0.018867924528301886
feeder=33|pv_bin=0.8|load_bin=high_load,99,9,0.9,0.0003925951871904,0.0003973687100987666,0.0003973687100987666,True,0.8787878787878788,0.9090909090909091,0.0007851903743808,0.0007947374201975332,9.54704581673327e-06,1.0,1.0,0,0,0,0.0,0.0
feeder=69|pv_bin=0.8|load_bin=low_load,759,21,0.9,0.0001998189452083,0.0002099967093916209,0.0002099967093916209,True,0.8814229249011858,0.9011857707509882,0.0003996378904166,0.0004199934187832418,2.035552836664184e-05,1.0,1.0,0,0,0,0.0,0.0
feeder=69|pv_bin=0.2|load_bin=high_load,759,99,0.9,0.0001444480112419,0.00012719749094068931,0.0001444480112419,False,0.9117259552042161,0.9117259552042161,0.0002888960224838,0.0002888960224838,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=33|pv_bin=0.6|load_bin=low_load,330,4,0.9,0.0001808895397878,0.000164549645480671,0.0001808895397878,False,0.9363636363636364,0.9363636363636364,0.0003617790795756,0.0003617790795756,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=69|pv_bin=0.8|load_bin=high_load,276,35,0.9,0.0004025886756406,0.00035069526427519904,0.0004025886756406,False,0.9492753623188406,0.9492753623188406,0.0008051773512812,0.0008051773512812,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=69|pv_bin=0.2|load_bin=low_load,690,71,0.9,8.564019443757548e-05,5.4244058365483525e-05,8.564019443757548e-05,False,0.9652173913043478,0.9652173913043478,0.00017128038887515097,0.00017128038887515097,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=33|pv_bin=0.2|load_bin=high_load,330,200,0.9,0.0003443839745228,0.00021641009793445235,0.0003443839745228,False,0.9757575757575757,0.9757575757575757,0.0006887679490456,0.0006887679490456,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=33|pv_bin=0.4|load_bin=low_load,429,61,0.9,0.00020013799786,0.0001307258131162392,0.00020013799786,False,0.9813519813519813,0.9813519813519813,0.00040027599572,0.00040027599572,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=33|pv_bin=0.2|load_bin=low_load,264,75,0.9,0.0001418878254438,0.00011520469900913977,0.0001418878254438,False,0.9848484848484849,0.9848484848484849,0.0002837756508876,0.0002837756508876,0.0,1.0,1.0,0,0,0,0.005291005291005291,0.005291005291005291
feeder=69|pv_bin=0.6|load_bin=low_load,828,61,0.9,0.0002447652749113,0.0001367500201676943,0.0002447652749113,False,0.9939613526570048,0.9939613526570048,0.0004895305498226,0.0004895305498226,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=33|pv_bin=0.4|load_bin=high_load,264,133,0.9,0.0003789572883471,0.0003089227479166686,0.0003789572883471,False,0.9962121212121212,0.9962121212121212,0.0007579145766942,0.0007579145766942,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=69|pv_bin=0.4|load_bin=high_load,276,35,0.9,0.000341730257471,0.00013734624331797078,0.000341730257471,False,1.0,1.0,0.000683460514942,0.000683460514942,0.0,1.0,1.0,0,0,0,0.0,0.0
feeder=69|pv_bin=0.6|load_bin=high_load,69,9,0.9,0.0003056584579298,0.00024064962919091292,0.0003056584579298,False,1.0,1.0,0.0006113169158596,0.0006113169158596,0.0,1.0,1.0,0,0,0,0.0,0.0
