method,variant,alpha,nominal_coverage,runs,test_scenarios_mean,test_scenarios_std,test_scenarios_ci95,risky_scenarios_mean,risky_scenarios_std,risky_scenarios_ci95,screened_safe_scenarios_mean,screened_safe_scenarios_std,screened_safe_scenarios_ci95,screened_safe_ratio_mean,screened_safe_ratio_std,screened_safe_ratio_ci95,ac_optimization_calls_avoided_mean,ac_optimization_calls_avoided_std,ac_optimization_calls_avoided_ci95,flagged_for_ac_optimization_mean,flagged_for_ac_optimization_std,flagged_for_ac_optimization_ci95,risky_scenario_recall_mean,risky_scenario_recall_std,risky_scenario_recall_ci95,post_screening_violation_miss_rate_mean,post_screening_violation_miss_rate_std,post_screening_violation_miss_rate_ci95,missed_risky_scenarios_mean,missed_risky_scenarios_std,missed_risky_scenarios_ci95,bus_violation_recall_mean,bus_violation_recall_std,bus_violation_recall_ci95,bus_false_alarm_rate_mean,bus_false_alarm_rate_std,bus_false_alarm_rate_ci95,missed_bus_violations_mean,missed_bus_violations_std,missed_bus_violations_ci95,mean_interval_width_mean,mean_interval_width_std,mean_interval_width_ci95,available_pv_mw_mean,available_pv_mw_std,available_pv_mw_ci95,accepted_pv_proxy_mw_mean,accepted_pv_proxy_mw_std,accepted_pv_proxy_mw_ci95,curtailed_pv_proxy_mw_mean,curtailed_pv_proxy_mw_std,curtailed_pv_proxy_mw_ci95,relieved_load_proxy_mw_mean,relieved_load_proxy_mw_std,relieved_load_proxy_mw_ci95,proxy_action_cost_mw_mean,proxy_action_cost_mw_std,proxy_action_cost_mw_ci95
Boosting point + global conformal,global,0.05,0.95,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,26.333333333333332,0.5773502691896258,0.6533333333333334,0.21944444444444444,0.00481125224324688,0.005444444444444444,26.333333333333332,0.5773502691896258,0.6533333333333334,93.66666666666667,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.004432459134164496,0.0010083809111271914,0.0011410904213505295,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.0019019097591842192,0.0002620942181100254,0.00029658752806258065,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.58553362967813,0.8373399144536454,0.9475393130255396,36.58553362967813,0.8373399144536454,0.9475393130255396
Boosting point + global conformal,global,0.1,0.9,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.0,1.7320508075688772,1.96,0.225,0.01443375672974064,0.016333333333333328,27.0,1.7320508075688772,1.96,93.0,1.7320508075688772,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981138908848425,0.001188973367573169,0.0013454500239022235,0.002404016934518332,0.0012144968106687006,0.0013743325187162518,1.6666666666666667,1.1547005383792517,1.3066666666666669,0.00127404111927614,0.000154322993003654,0.00017463290624350442,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.36190776162709,0.6425491064523643,0.727112763172539,36.36190776162709,0.6425491064523643,0.727112763172539
Boosting point + global conformal,global,0.15,0.85,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.0,1.7320508075688772,1.96,0.225,0.01443375672974064,0.016333333333333328,27.0,1.7320508075688772,1.96,93.0,1.7320508075688772,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951627111566337,0.003720795831887791,0.004210476851274506,0.0014525669245815404,0.0008779601420518712,0.0009935054277287634,4.333333333333333,3.511884584284246,3.974071519794837,0.0009671071770556903,7.686574158662462e-05,8.698177492913596e-05,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.36190776162709,0.6425491064523643,0.727112763172539,36.36190776162709,0.6425491064523643,0.727112763172539
Boosting point + global conformal,global,0.2,0.8,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.333333333333332,1.5275252316519465,1.7285575232288657,0.22777777777777777,0.012729376930432886,0.014404646026907213,27.333333333333332,1.5275252316519465,1.7285575232288657,92.66666666666667,1.5275252316519468,1.728557523228866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940769348265577,0.00546975839418246,0.006189614303315579,0.0009457631257150908,0.0006715332162754057,0.0007599113710453061,5.333333333333333,5.131601439446884,5.806953685979518,0.0008052818446976697,4.6479255032905866e-05,5.259622839376368e-05,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.25953638338125,0.8157965410609858,0.9231606910676304,36.25953638338125,0.8157965410609858,0.9231606910676304
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.05,0.95,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.0,1.7320508075688772,1.96,0.225,0.01443375672974064,0.016333333333333328,27.0,1.7320508075688772,1.96,93.0,1.7320508075688772,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002467766677451494,0.0008077483369206913,0.000914053290726922,0.0,0.0,0.0,0.0006953034905339302,7.601286366741716e-05,8.601665270850493e-05,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.36190776162709,0.6425491064523643,0.727112763172539,36.36190776162709,0.6425491064523643,0.727112763172539
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.333333333333332,1.5275252316519465,1.7285575232288657,0.22777777777777777,0.012729376930432886,0.014404646026907213,27.333333333333332,1.5275252316519465,1.7285575232288657,92.66666666666667,1.5275252316519468,1.728557523228866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.0017071325111211652,0.0010003126909679937,0.0011319603707521733,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.0005117976565449647,4.929957382788487e-05,5.578771955210779e-05,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.25953638338125,0.8157965410609858,0.9231606910676304,36.25953638338125,0.8157965410609858,0.9231606910676304
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.15,0.85,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.333333333333332,1.5275252316519465,1.7285575232288657,0.22777777777777777,0.012729376930432886,0.014404646026907213,27.333333333333332,1.5275252316519465,1.7285575232288657,92.66666666666667,1.5275252316519468,1.728557523228866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.001517845505577791,0.0010577056995073632,0.0011969066738545962,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.00041233300480810397,4.4030002722016335e-05,4.982463849099313e-05,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.25953638338125,0.8157965410609858,0.9231606910676304,36.25953638338125,0.8157965410609858,0.9231606910676304
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.2,0.8,3,120.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.333333333333332,1.5275252316519465,1.7285575232288657,0.22777777777777777,0.012729376930432886,0.014404646026907213,27.333333333333332,1.5275252316519465,1.7285575232288657,92.66666666666667,1.5275252316519468,1.728557523228866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.0012014290822871501,0.0009576477802003649,0.0010836804792275553,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.00034246678055565254,4.477072823806615e-05,5.0662848320123624e-05,222.51707650286934,27.1471830486408,30.719929544110713,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,36.25953638338125,0.8157965410609858,0.9231606910676304,36.25953638338125,0.8157965410609858,0.9231606910676304
