method,variant,protocol,target_fraction,nominal_coverage,runs,target_calibration_scenarios_mean,target_calibration_scenarios_std,target_calibration_scenarios_ci95,target_test_scenarios_mean,target_test_scenarios_std,target_test_scenarios_ci95,risky_scenarios_mean,risky_scenarios_std,risky_scenarios_ci95,screened_safe_scenarios_mean,screened_safe_scenarios_std,screened_safe_scenarios_ci95,screened_safe_ratio_mean,screened_safe_ratio_std,screened_safe_ratio_ci95,ac_optimization_calls_avoided_mean,ac_optimization_calls_avoided_std,ac_optimization_calls_avoided_ci95,flagged_for_ac_optimization_mean,flagged_for_ac_optimization_std,flagged_for_ac_optimization_ci95,risky_scenario_recall_mean,risky_scenario_recall_std,risky_scenario_recall_ci95,post_screening_violation_miss_rate_mean,post_screening_violation_miss_rate_std,post_screening_violation_miss_rate_ci95,missed_risky_scenarios_mean,missed_risky_scenarios_std,missed_risky_scenarios_ci95,bus_violation_recall_mean,bus_violation_recall_std,bus_violation_recall_ci95,bus_false_alarm_rate_mean,bus_false_alarm_rate_std,bus_false_alarm_rate_ci95,missed_bus_violations_mean,missed_bus_violations_std,missed_bus_violations_ci95,mean_interval_width_mean,mean_interval_width_std,mean_interval_width_ci95,available_pv_mw_mean,available_pv_mw_std,available_pv_mw_ci95,accepted_pv_proxy_mw_mean,accepted_pv_proxy_mw_std,accepted_pv_proxy_mw_ci95,curtailed_pv_proxy_mw_mean,curtailed_pv_proxy_mw_std,curtailed_pv_proxy_mw_ci95,relieved_load_proxy_mw_mean,relieved_load_proxy_mw_std,relieved_load_proxy_mw_ci95,proxy_action_cost_mw_mean,proxy_action_cost_mw_std,proxy_action_cost_mw_ci95
Boosting point + global conformal,global,source_only,0.0,0.9,3,0.0,0.0,0.0,132.0,0.0,0.0,75.0,0.0,0.0,57.0,0.0,0.0,0.4318181818181818,0.0,0.0,57.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974210186976143,0.0011167316618754459,0.001263700838168879,0.0016249934476070661,0.00024021469282150445,0.00027182851442504575,1.3333333333333333,0.5773502691896257,0.6533333333333333,0.0012537894763990276,1.2187317940603e-05,1.3791248535665129e-05,405.82508248850473,6.961868572213853e-14,7.87809592069171e-14,405.82508248850473,6.961868572213853e-14,7.87809592069171e-14,0.0,0.0,0.0,31.38572755379886,0.0,0.0,31.38572755379886,0.0,0.0
Boosting point + global conformal,global,source_plus_target_high_pv,0.1,0.9,3,16.0,0.0,0.0,116.0,0.0,0.0,65.0,1.0,1.1316065276116665,51.0,1.0,1.1316065276116665,0.43965517241379315,0.008620689655172431,0.00975522868630749,51.0,1.0,1.1316065276116665,65.0,1.0,1.1316065276116665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970674218217875,0.0012342597515706956,0.001396696391645753,0.0017836359569854295,0.00035734351563674005,0.00040437225489423664,1.3333333333333333,0.5773502691896257,0.6533333333333333,0.001366640061388465,3.3363796621309715e-05,3.775469004258214e-05,355.2066004860555,1.4892129860201266,1.6852031359844368,355.2066004860555,1.4892129860201266,1.6852031359844368,0.0,0.0,0.0,27.163681201003424,0.2695162741261976,0.30498637509878057,27.163681201003424,0.2695162741261976,0.30498637509878057
Boosting point + global conformal,global,source_plus_target_high_pv,0.2,0.9,3,29.0,0.0,0.0,103.0,0.0,0.0,59.0,1.0,1.1316065276116665,44.0,1.0,1.1316065276116665,0.42718446601941745,0.009708737864077666,0.010986471141860835,44.0,1.0,1.1316065276116665,59.0,1.0,1.1316065276116665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9975302451031475,4.8154756339716165e-05,5.44922366095721e-05,0.0018763464970654705,0.000614345737801111,0.0006951976471061425,1.0,0.0,0.0,0.001361705053300949,2.5529278038653674e-05,2.888909767375366e-05,316.6673325150528,1.0868921767855337,1.2299342820605634,316.6673325150528,1.0868921767855337,1.2299342820605634,0.0,0.0,0.0,24.680780954343067,0.4430301563150936,0.501335816814977,24.680780954343067,0.4430301563150936,0.501335816814977
Boosting point + global conformal,global,source_plus_target_high_pv,0.4,0.9,3,55.0,0.0,0.0,77.0,0.0,0.0,43.333333333333336,1.5275252316519465,1.7285575232288657,33.666666666666664,1.5275252316519465,1.7285575232288657,0.4372294372294372,0.019837990021453828,0.022448799002972256,33.666666666666664,1.5275252316519465,1.7285575232288657,43.333333333333336,1.5275252316519465,1.7285575232288657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989868287740628,0.0017548640400900323,0.0019858156028368617,0.002064713226202651,0.0001565175658316945,0.00017711629918103425,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.0014655731627736517,2.93595982057129e-05,3.322351297764049e-05,236.9556494041267,1.2937796844944875,1.4640495362653245,236.9556494041267,1.2937796844944875,1.4640495362653245,0.0,0.0,0.0,18.346860764751167,0.7513250123787393,0.8502042883656975,18.346860764751167,0.7513250123787393,0.8502042883656975
VoltGuard topology-aware residual,topology_pv_loading_conditioned,source_only,0.0,0.9,3,0.0,0.0,0.0,132.0,0.0,0.0,75.0,0.0,0.0,57.0,0.0,0.0,0.4318181818181818,0.0,0.0,57.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980657640232108,0.0,0.0,0.0014677360171934791,9.079261978135328e-05,0.00010274152120354348,1.0,0.0,0.0,0.0008108498528748673,5.52917621832022e-06,6.25685190096635e-06,405.82508248850473,6.961868572213853e-14,7.87809592069171e-14,405.82508248850473,6.961868572213853e-14,7.87809592069171e-14,0.0,0.0,0.0,31.38572755379886,0.0,0.0,31.38572755379886,0.0,0.0
VoltGuard topology-aware residual,topology_pv_loading_conditioned,source_plus_target_high_pv,0.1,0.9,3,16.0,0.0,0.0,116.0,0.0,0.0,65.0,1.0,1.1316065276116665,49.666666666666664,1.5275252316519465,1.7285575232288657,0.42816091954022983,0.013168320962516779,0.014901357958869531,49.666666666666664,1.5275252316519465,1.7285575232288657,66.33333333333333,1.5275252316519468,1.728557523228866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003983874442015825,0.0005502310074826526,0.0006226449997617134,0.0,0.0,0.0,0.0020876463636523034,0.000407302783962993,0.00046090648904692727,355.2066004860555,1.4892129860201266,1.6852031359844368,355.2066004860555,1.4892129860201266,1.6852031359844368,0.0,0.0,0.0,27.699854703470663,0.631301302062974,0.7143846743042058,27.699854703470663,0.631301302062974,0.7143846743042058
VoltGuard topology-aware residual,topology_pv_loading_conditioned,source_plus_target_high_pv,0.2,0.9,3,29.0,0.0,0.0,103.0,0.0,0.0,59.0,1.0,1.1316065276116665,44.0,1.0,1.1316065276116665,0.42718446601941745,0.009708737864077666,0.010986471141860835,44.0,1.0,1.1316065276116665,59.0,1.0,1.1316065276116665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032167322629938822,5.046470930158894e-06,5.710619445970323e-06,0.0,0.0,0.0,0.0017125051255542584,0.0001786244985227889,0.0002021326485197484,316.6673325150528,1.0868921767855337,1.2299342820605634,316.6673325150528,1.0868921767855337,1.2299342820605634,0.0,0.0,0.0,24.680780954343067,0.4430301563150936,0.501335816814977,24.680780954343067,0.4430301563150936,0.501335816814977
VoltGuard topology-aware residual,topology_pv_loading_conditioned,source_plus_target_high_pv,0.4,0.9,3,55.0,0.0,0.0,77.0,0.0,0.0,43.333333333333336,1.5275252316519465,1.7285575232288657,32.0,1.0,1.1316065276116665,0.41558441558441556,0.012987012987012964,0.014696188670281357,32.0,1.0,1.1316065276116665,45.0,1.0,1.1316065276116665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004038986743436186,0.00025696367346684823,0.0002907817702541583,0.0,0.0,0.0,0.0019369614550901876,9.94861184501927e-06,1.1257914104498552e-05,236.9556494041267,1.2937796844944875,1.4640495362653245,236.9556494041267,1.2937796844944875,1.4640495362653245,0.0,0.0,0.0,19.029866528646824,0.5543590778845412,0.6273163511749311,19.029866528646824,0.5543590778845412,0.6273163511749311
