feeder,scenario_id,load_relief,pv_curtail,predicted_risk_buses,predicted_interval_severity,predicted_mean_width,ldf_point_severity
33,3,0.0,0.0,21,0.03898963482234652,0.0006887679490457066,0.03542028411155673
33,3,0.0,0.1,21,0.039767803246397504,0.0005274910307726566,0.03625688714040243
33,3,0.0,0.2,21,0.040636855845522346,0.0005274910307726566,0.03709425684679302
33,3,0.1,0.0,17,0.028607690468271052,0.0006887679490457066,0.025694838562845157
33,3,0.1,0.1,17,0.029376312875611932,0.0005274910307726566,0.026522631006516306
33,3,0.1,0.2,18,0.03020876408733164,0.0005274910307726566,0.027351166138010696
33,3,0.2,0.0,16,0.018140974707884006,0.0002837756508875522,0.016070663163350152
33,3,0.2,0.1,16,0.01909584533526254,0.0005274910307726566,0.016889917647490815
33,3,0.2,0.2,16,0.019927943119163793,0.0005274910307726566,0.017709892055231435
33,11,0.0,0.0,0,0.0,0.00036177907957557823,0.0
33,11,0.0,0.1,0,0.0,0.0005274910307726566,0.0
33,11,0.0,0.2,0,0.0,0.0005274910307726566,0.0
33,11,0.1,0.0,0,0.0,0.00036177907957557487,0.0
33,11,0.1,0.1,0,0.0,0.0005274910307726532,0.0
33,11,0.1,0.2,0,0.0,0.0005274910307726532,0.0
33,11,0.2,0.0,0,0.0,0.00036177907957557487,0.0
33,11,0.2,0.1,0,0.0,0.0005274910307726532,0.0
33,11,0.2,0.2,0,0.0,0.0005274910307726532,0.0
33,13,0.0,0.0,14,0.017338834798613867,0.0007579145766942741,0.014963082406346917
33,13,0.0,0.1,14,0.019431412740696263,0.0005274910307726532,0.017085778112938543
33,13,0.0,0.2,16,0.021624446215435356,0.0005274910307726566,0.019213314698129813
33,13,0.1,0.0,6,0.007805751538963568,0.0004002759957200086,0.0061622356566599645
33,13,0.1,0.1,9,0.010071834972588012,0.0005274910307726532,0.008265093809974755
33,13,0.1,0.2,10,0.012351350859226673,0.0005274910307726566,0.010372658085750719
33,13,0.2,0.0,0,0.0,0.00040027599572001193,0.0
33,13,0.2,0.1,2,0.000850327244082516,0.0005274910307726566,0.0
33,13,0.2,0.2,3,0.0030224517566462827,0.0005274910307726566,0.0016144086868294938
33,17,0.0,0.0,0,0.0,0.00036177907957557487,0.0
33,17,0.0,0.1,0,0.0,0.0005274910307726566,0.0
33,17,0.0,0.2,0,0.0,0.0005274910307726566,0.0
33,17,0.1,0.0,0,0.0,0.00036177907957557487,0.0
33,17,0.1,0.1,0,0.0,0.0005274910307726532,0.0
33,17,0.1,0.2,0,0.0,0.0005274910307726532,0.0
33,17,0.2,0.0,0,0.0,0.00036177907957557487,0.0
