method,rmse,coverage,avg_width,precision,recall,false_alarm_rate,missed_violations
Flat 1.0 p.u. + global quantile,0.032898532505407294,0.9001633986928105,0.11745378074663117,0.15049019607843137,1.0,1.0,0
Historical bus envelope,0.012578199141331336,0.9576797385620915,0.034991163808538964,0.3569767441860465,1.0,0.3190998268897865,0
Linear sensitivity regression + global quantile,0.02052318918573836,0.9024509803921569,0.0668288417064287,0.24116094986807388,0.992399565689468,0.5531833044816311,7
LinDistFlow + global quantile,0.0013986906434149203,0.913562091503268,0.004738587941649286,0.979765708200213,0.998914223669924,0.0036545489517214847,1
