transfer_direction,source_feeder,target_feeder,method,variant,alpha,runs,train_scenarios_mean,train_scenarios_std,train_scenarios_ci95,calibration_scenarios_mean,calibration_scenarios_std,calibration_scenarios_ci95,test_scenarios_mean,test_scenarios_std,test_scenarios_ci95,mae_mean,mae_std,mae_ci95,rmse_mean,rmse_std,rmse_ci95,max_abs_error_mean,max_abs_error_std,max_abs_error_ci95,coverage_mean,coverage_std,coverage_ci95,avg_width_mean,avg_width_std,avg_width_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci95,missed_violations_mean,missed_violations_std,missed_violations_ci95,scenario_precision_mean,scenario_precision_std,scenario_precision_ci95,scenario_recall_mean,scenario_recall_std,scenario_recall_ci95,scenario_f1_mean,scenario_f1_std,scenario_f1_ci95,scenario_false_alarm_rate_mean,scenario_false_alarm_rate_std,scenario_false_alarm_rate_ci95,missed_risky_scenarios_mean,missed_risky_scenarios_std,missed_risky_scenarios_ci95,screened_safe_scenarios_mean,screened_safe_scenarios_std,screened_safe_scenarios_ci95,screened_safe_ratio_mean,screened_safe_ratio_std,screened_safe_ratio_ci95,ac_optimization_calls_avoided_mean,ac_optimization_calls_avoided_std,ac_optimization_calls_avoided_ci95,risky_scenario_recall_mean,risky_scenario_recall_std,risky_scenario_recall_ci95,post_screening_violation_miss_rate_mean,post_screening_violation_miss_rate_std,post_screening_violation_miss_rate_ci95,bus_violation_recall_mean,bus_violation_recall_std,bus_violation_recall_ci95,bus_false_alarm_rate_mean,bus_false_alarm_rate_std,bus_false_alarm_rate_ci95,missed_bus_violations_mean,missed_bus_violations_std,missed_bus_violations_ci95,mean_interval_width_mean,mean_interval_width_std,mean_interval_width_ci95
33_to_69,33,69,Boosting point + global conformal,global,0.1,3,300.0,0.0,0.0,120.0,0.0,0.0,180.0,0.0,0.0,0.0006172873553658981,1.584540312378524e-05,1.7930761607513668e-05,0.0012742063864261664,5.198303144794491e-05,5.8824337711536996e-05,0.022810951354759967,0.001431052211506853,0.0016193880238942662,0.8971551261406333,0.010462136040138223,0.011839021435781685,0.002732708940149204,8.330910535341051e-05,9.427312742740737e-05,0.9835133847517034,0.0007675397144266024,0.0008685529510463377,0.9997395833333332,0.00045105489780436947,0.0005104166666666377,0.9915600271777123,0.0005329430026373801,0.0006030817806294209,0.0019138192557583914,0.00010512164949437466,0.00011895634476114002,0.3333333333333333,0.5773502691896258,0.6533333333333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,1.5275252316519468,1.728557523228866,0.08703703703703704,0.008486251286955258,0.009603097351271475,15.666666666666666,1.5275252316519468,1.728557523228866,1.0,0.0,0.0,0.0,0.0,0.0,0.9997395833333332,0.00045105489780436947,0.0005104166666666377,0.0019138192557583914,0.00010512164949437466,0.00011895634476114002,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.002732708940149205,8.330910535341047e-05,9.427312742740731e-05
33_to_69,33,69,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,3,300.0,0.0,0.0,120.0,0.0,0.0,180.0,0.0,0.0,0.0004683876414924345,1.904743711033224e-05,2.155420416832466e-05,0.0006756360454259453,2.07253649094879e-05,2.3452958218710282e-05,0.00374171937965051,7.092403416184344e-05,8.025810002209487e-05,0.9016639828234031,0.005989782611792811,0.006778077102479602,0.0020277548576372157,4.5559676892233496e-05,5.155562776712983e-05,0.9937699272675132,0.002753651442277916,0.0031160499468489695,1.0,0.0,0.0,0.9968739535244445,0.0013861896897322153,0.0015686213014089656,0.0007178163218295649,0.0003239906469835974,0.00036662993101176593,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,1.5275252316519468,1.728557523228866,0.08703703703703704,0.008486251286955258,0.009603097351271475,15.666666666666666,1.5275252316519468,1.728557523228866,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007178163218295649,0.0003239906469835974,0.00036662993101176593,0.0,0.0,0.0,0.0020277548576372157,4.5559676892233666e-05,5.1555627767130024e-05
69_to_33,69,33,Boosting point + global conformal,global,0.1,3,300.0,0.0,0.0,120.0,0.0,0.0,180.0,0.0,0.0,0.0005265683829726225,9.101748290826134e-06,1.0299597778577182e-05,0.0007553909865997819,2.203718561248119e-05,2.493742308927362e-05,0.00861827068261356,0.001310522386758749,0.0014829956874374216,0.8928170594837262,0.01015883188496398,0.01149580047393477,0.002136816199048928,8.94930464303226e-05,0.00010127091551640703,0.9305633996340755,0.004508813239836356,0.005102202493980727,1.0,0.0,0.0,0.9640292165767604,0.002421115632404075,0.002739750253731099,0.022977722670604342,0.0017065770587929583,0.0019311737396024303,0.0,0.0,0.0,0.9298001211387038,0.014759919668137281,0.01670242144348797,1.0,0.0,0.0,0.9635828394411599,0.007923086531101589,0.008965816437426633,0.14738527528056877,0.03188881853808794,0.036085595215524235,0.0,0.0,0.0,52.0,1.7320508075688772,1.96,0.2888888888888889,0.00962250448649376,0.010888888888888887,52.0,1.7320508075688772,1.96,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.022977722670604342,0.0017065770587929583,0.0019311737396024303,0.0,0.0,0.0,0.002136816199048928,8.949304643032213e-05,0.00010127091551640647
69_to_33,69,33,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,3,300.0,0.0,0.0,120.0,0.0,0.0,180.0,0.0,0.0,0.000543233023451892,1.6807568416338507e-05,1.9019554133208336e-05,0.0007268128014538147,2.833157622183401e-05,3.206019659015484e-05,0.003235780779093478,0.0004980923062713271,0.0005636445051297831,0.9094837261503929,0.011665261639579939,0.013200486217646632,0.0021844744013111398,4.6283523565340256e-05,5.2374737387407425e-05,0.9279703962186084,0.0071972465213640206,0.008144451144405885,1.0,0.0,0.0,0.9626300557093329,0.0038645033058486646,0.004373097166875214,0.02384235725974167,0.0015519633653009303,0.0017562118747887021,0.0,0.0,0.0,0.9324031007751937,0.024211872516328642,0.027398312985179,1.0,0.0,0.0,0.9649116143780224,0.012886682241116963,0.014582653743305297,0.14156237146718373,0.05087658092279658,0.05757227107479979,0.0,0.0,0.0,52.333333333333336,2.309401076758503,2.6133333333333333,0.29074074074074074,0.012830005981991702,0.01451851851851854,52.333333333333336,2.309401076758503,2.6133333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02384235725974167,0.0015519633653009303,0.0017562118747887021,0.0,0.0,0.0,0.0021844744013111398,4.62835235653404e-05,5.2374737387407594e-05
