split_name,seed,method,conformal_variant,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
random_interpolation,42,VoltGuard topology-aware residual,pv_conditioned,9.523231407075017e-05,0.00019618941013351023,0.0030512448408392956,0.9259803921568628,0.0006103611623786986,0.986335403726708,1.0,0.9931207004377736,0.0020653398422831393,0
random_interpolation,42,VoltGuard topology-aware residual,topology_conditioned,9.523231407075017e-05,0.00019618941013351023,0.0030512448408392956,0.9160130718954248,0.0005592637103152398,0.9875621890547264,1.0,0.9937421777221527,0.001877581674802854,0
random_interpolation,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,9.523231407075017e-05,0.00019618941013351023,0.0030512448408392956,0.9330065359477124,0.0005489279720081279,0.986335403726708,1.0,0.9931207004377736,0.0020653398422831393,0
random_interpolation,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,9.523231407075017e-05,0.00019618941013351023,0.0030512448408392956,0.9240196078431373,0.0005434800091253599,0.9887920298879203,1.0,0.9943644333124608,0.0016898235073225685,0
synthetic_time_block,42,LinDistFlow physical backbone,none,0.0010814240475998946,0.0016017368529050915,0.0066059391731750905,,,1.0,0.9411764705882353,0.9696969696969697,0.0,56
synthetic_time_block,42,Random forest,none,0.00017672427548692666,0.000390025279504345,0.007291409892394407,,,0.9937106918238994,0.9957983193277311,0.9947534102833159,0.0011609907120743034,4
synthetic_time_block,42,Gradient boosting,none,0.00036059043512723236,0.0008881124979115545,0.01868851446200015,,,1.0,0.9894957983193278,0.9947201689545935,0.0,10
synthetic_time_block,42,Boosting point + global conformal,global,0.00036059043512723236,0.0008881124979115545,0.01868851446200015,0.8784313725490196,0.0010976214187559303,0.9813857290589452,0.9968487394957983,0.9890568004168838,0.00348297213622291,3
synthetic_time_block,42,VoltGuard topology-aware residual,global,8.48510540121625e-05,0.00015573540372714888,0.0019400741366486507,0.8973856209150327,0.0004624254278795299,0.9854922279792746,0.9989495798319328,0.9921752738654147,0.0027089783281733747,1
synthetic_time_block,42,VoltGuard topology-aware residual,pv_conditioned,8.48510540121625e-05,0.00015573540372714888,0.0019400741366486507,0.8972222222222223,0.0004993314790981138,0.9875389408099688,0.9989495798319328,0.9932114882506528,0.0023219814241486067,1
synthetic_time_block,42,VoltGuard topology-aware residual,topology_conditioned,8.48510540121625e-05,0.00015573540372714888,0.0019400741366486507,0.9035947712418301,0.0004887959579905523,0.9804123711340206,0.9989495798319328,0.9895941727367326,0.003676470588235294,1
synthetic_time_block,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,8.48510540121625e-05,0.00015573540372714888,0.0019400741366486507,0.9143790849673202,0.0005019811664827634,0.9865145228215768,0.9989495798319328,0.9926931106471816,0.0025154798761609907,1
synthetic_time_block,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,8.48510540121625e-05,0.00015573540372714888,0.0019400741366486507,0.8996732026143791,0.0005386217530831249,0.9875389408099688,0.9989495798319328,0.9932114882506528,0.0023219814241486067,1
pv_penetration_shift,42,LinDistFlow physical backbone,none,0.0009081917396745199,0.0013790646388373436,0.006415077244715572,,,1.0,0.8762088974854932,0.934020618556701,0.0,64
pv_penetration_shift,42,Random forest,none,0.0005295068647486244,0.001625818000182132,0.0255007391757478,,,0.9961013645224172,0.988394584139265,0.9922330097087378,0.0003145148608271741,6
pv_penetration_shift,42,Gradient boosting,none,0.0007244056864819251,0.002076965825983379,0.028501539855752434,,,0.9980392156862745,0.9845261121856866,0.991236611489776,0.00015725743041358704,8
pv_penetration_shift,42,Boosting point + global conformal,global,0.0007244056864819251,0.002076965825983379,0.028501539855752434,0.7937754508435136,0.0012628938958916334,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
