split_name,seed,method,conformal_variant,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,curtailment_rate,flexible_load_relief_scenarios,missed_risky_scenarios
topology_heldout_33_to_69,17,VoltGuard topology-aware residual,pv_conditioned,334.89761274142074,334.89761274142074,0.0,64.82021724718244,0.0,166,0
topology_heldout_33_to_69,17,VoltGuard topology-aware residual,topology_conditioned,334.89761274142074,334.89761274142074,0.0,64.82021724718244,0.0,166,0
topology_heldout_33_to_69,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,334.89761274142074,334.89761274142074,0.0,64.82021724718244,0.0,166,0
topology_heldout_33_to_69,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,334.89761274142074,334.89761274142074,0.0,64.82021724718244,0.0,166,0
random_interpolation,42,Boosting point + global conformal,global,239.84934000057135,239.84934000057135,0.0,36.876146616641336,0.0,94,0
random_interpolation,42,VoltGuard topology-aware residual,global,239.84934000057135,239.84934000057135,0.0,36.4863672325224,0.0,93,0
random_interpolation,42,VoltGuard topology-aware residual,pv_conditioned,239.84934000057135,239.84934000057135,0.0,36.876146616641336,0.0,94,0
random_interpolation,42,VoltGuard topology-aware residual,topology_conditioned,239.84934000057135,239.84934000057135,0.0,36.4863672325224,0.0,93,0
random_interpolation,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,239.84934000057135,239.84934000057135,0.0,36.876146616641336,0.0,94,0
random_interpolation,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,239.84934000057135,239.84934000057135,0.0,36.876146616641336,0.0,94,0
synthetic_time_block,42,Boosting point + global conformal,global,238.91598355171416,238.91598355171416,0.0,41.87255745149765,0.0,103,0
synthetic_time_block,42,VoltGuard topology-aware residual,global,238.91598355171416,238.91598355171416,0.0,41.87255745149765,0.0,103,0
synthetic_time_block,42,VoltGuard topology-aware residual,pv_conditioned,238.91598355171416,238.91598355171416,0.0,41.87255745149765,0.0,103,0
synthetic_time_block,42,VoltGuard topology-aware residual,topology_conditioned,238.91598355171416,238.91598355171416,0.0,41.87255745149765,0.0,103,0
synthetic_time_block,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,238.91598355171416,238.91598355171416,0.0,41.87255745149765,0.0,103,0
synthetic_time_block,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,238.91598355171416,238.91598355171416,0.0,41.87255745149765,0.0,103,0
pv_penetration_shift,42,Boosting point + global conformal,global,405.8250824885048,405.8250824885048,0.0,31.38572755379886,0.0,75,0
